,0
59,"Machine learning software can identify individual pigs based on their facial features with high accuracy, which could help farmers give animals individualised food and veterinary care

Pigs have unique facial features that can be identified by machine learning software SRUC

Pigs could be issued with biometric passports based on facial recognition technology, giving farmers a more practical and welfare-friendly way of identifying individuals than ear notches or tags, the current industry standards.

Identifying pigs based on their unique facial features could enable them to receive individualised food and veterinary care, and be traced as they go through meat processing. With advanced algorithms and machine learning, it is possible to distinguish between the faces of even the most similar-looking …"
60,"In a laboratory study, human epithelial cells were treated with the lubricant before being exposed to HIV or a herpes virus, with subsequent infection rates being as low as 20 per cent

The mucus in cows’ salivary glands may have anti-viral properties Getty Images

A lubricant derived from the mucus of cow salivary glands has shown promise at preventing the human immunodeficiency virus (HIV) and a herpes virus from infecting healthy human cells.

Mucus is a protective gel that lubricates the epithelial tissues that cover our organs and line our body cavities, as well as acting as a first line of defence against microorganisms. The main component of mucus, a protein called mucin, may have antiviral properties.

Hongji Yan at the KTH Royal …"
61,"By modifying the embryonic skin cells of mice, researchers created hair follicles that grew up to 3 millimetres long over one month

A hair follicle generated from hair organoids – tiny, simple versions of an organ Yokohama National University

Mature hair follicles have been grown in a laboratory for the first time, in a move that could one day treat hair loss.

Artificially producing hair follicles has historically been very difficult, says Kairbaan Hodivala-Dilke at Queen Mary University of London, who wasn’t involved in the study. “Different types of cells need different sorts of nutrients and when they’re outside the body, they need different sorts of requirements compared to when they’re in the body.”

Among mammals, hair follicles are typically produced in embryos as a result of interactions between skin cells and connective tissue.

Advertisement

To better understand these interactions, Junji Fukuda at Yokohama National University in Japan and his colleagues studied hair follicle organoids – tiny, simple versions of an organ.

By controlling the organoids’ structure, the team was able to enhance hair follicle growth.

“We examined various conditions, including growth factors, activators and inhibitors of signalling pathways and essential culture medium components,” says Fukuda.

Read more: Long covid symptoms may include hair loss and ejaculation difficulties

The team’s main breakthrough was culturing mice embryonic skin cells in a special type of gel, which allowed the cells to be reprogrammed into hair follicles.

“If you think of a hair follicle, it’s got the hair down the middle of it and then it’s got layers of epithelial cells around the follicle and other specialised cells,” says Hodivala-Dilke. The gel allows these cells to grow in a laboratory in a way that means they can climb over and around each other [like they do in the body], she says.

The hair follicles grew for up to one month, reaching up to 3 millimetres long. “This is probably related to the fact that the hair cycle of mice is about one month,” says Fukuda.

The team is now working to recreate the experiment using human cells.

According to Hodivala-Dilke, laboratory-grown human hair follicles could one day treat hair loss. “You might be able to take hair from someone whose hair is really lush and make it grow in the lab and then use those follicles to do a transplant,” she says. Existing hair transplants involve moving hair from one part of the body to an area that is thinning or bald, which can cause scarring.

“This discovery is not going to cure hair loss, but it lays the foundation for somebody to potentially do so,” says Hodivala-Dilke.

Journal reference: Science Advances, DOI: 10.1126/sciadv.add4603"
62,"A device that measures acceleration very precisely using quantum effects could be used for navigation when GPS is unavailable

A quantum accelerometer could help ships navigate d13/Shutterstock

A quantum device that can determine its position in three dimensions is more accurate than non-quantum versions. Vehicles could use it to navigate even if GPS stopped working.

One way to keep track of something’s position is with an accelerometer, which is a small device that is found in everything from phones to drones. Accelerometers work by detecting changes in movement and therefore position.

It has been known for decades that quantum effects could be used make more accurate accelerometers, but most …"
63,"October 24, 2022, by Jasmina Ovcina Mandra

Image by Port of Newcastle

The world’s first bulk carrier to be partially powered by wind, the Shofu Maru, sailed into the Port of Newcastle this morning on its maiden voyage.

The 100, 422 dwt bulker, owned by Japanese shipping company Mitsui O.S.K. Lines (MOL), was delivered on October 7, 2022. The vessel is the first of its kind and it heralds a new era in modern shipping as wind propulsion marks its return as a sustainable power source.

Related Article Posted: about 1 month ago World’s 1st ship equipped with ‘Wind Challenger’ delivered Posted: about 1 month ago

Shofu Maru is fitted with the so-called Wind Challenger system, a telescoping hard sail that harnesses wind power to propel the vessel.

The system converts wind energy directly to a propulsive force. The installation of the sail on merchant ships has the potential to significantly reduce fuel consumption, which in turn reduces GHG emissions by about 5-8%. The sail can be shortened and extended (55 meters in length) adapting automatically to the wind conditions on board as it can rotate 360 degrees.

The vessel was greeted in the Port of Newcastle by a delegation of port officials and diplomatic dignitaries, including Consul-General of Japan in Sydney Tokuda Shuichi, Deputy Secretary of Safety, Environment and Regulation at Transport for NSW Tara McCarthy and MOL Managing Executive Officer for East/South East Asia and Oceania Nobuo Shiotsu.

The world’s first bulk carrier to be partially powered by wind, the Shofu Maru, sailed into #Newcastle this morning on its maiden voyage.



The vessel’s unique hard sail will reduce greenhouse gas emissions by around 5% on its Japan-Australia journey. pic.twitter.com/RXNEqO8zB8 — Port of Newcastle (@PortofNewcastle) October 24, 2022

“Port of Newcastle is pleased to join Port Authority of New South Wales in welcoming the vessel to our beautiful (and rainy) city, alongside the Consul-General of Japan in Sydney Tokuda Shuichi, Deputy Secretary of Safety, Environment and Regulation at Transport for NSW Tara McCarthy and MOL Managing Executive Officer for East/South East Asia and Oceania Nobuo Shiotsu,” the port authority said.

The 235-metre-long Shofu Maru will transport coal mainly from Australia, Indonesia, and North America as a dedicated vessel for Japan’s electric services company Tohoku Electric Power.

The vessel will now be loaded with its coal shipment, before it departs Newcastle on Tuesday.

MOL plans to build a second bulk carrier equipped with the Wind Challenger hard sail system at Oshima Shipbuilding. Under the plan, MOL Drybulk will operate the 62,900 dwt vessel, slated for delivery in 2024. Once completed, the vessel is chartered to transport wood pellets for Enviva, which specializes in the production of sustainable wood bioenergy.

MOL is also looking into the feasibility of adopting rotor sails, an auxiliary wind propulsion system developed by UK’s Anemoi Marine Technologies on the bulker. The combined use of both the Wind Challenger and rotor sails is expected to slash GHG emissions by an average of 20%.

Related Article Posted: 3 months ago MOL pens deal for 2nd Wind Challenger-fitted bulker Posted: 3 months ago

Exploration of the wind-assisted propulsion technology forms part of MOL’s overall decarbonization strategy. The MOL Group has set mid- to long-term targets to reduce GHG emissions intensity in marine transport by approximately 45% by 2035 (i.e. versus 2019) and achieve net zero by 2050."
64,"UNIVERSITY PARK, Pa. — A breakthrough in electric vehicle battery design has enabled a 10-minute charge time for a typical EV battery. The record-breaking combination of a shorter charge time and more energy acquired for longer travel range was announced today (Oct. 12) in the journal Nature.

“The need for smaller, faster-charging batteries is greater than ever,” said Chao-Yang Wang, the William E. Diefenderfer Professor of Mechanical Engineering at Penn State and lead author on the study. “There are simply not enough batteries and critical raw materials, especially those produced domestically, to meet anticipated demand.”

In August, California’s Air Resources Board passed an extensive plan to restrict and ultimately ban the sale of gasoline-powered cars within the state. By 2035, the largest auto market in the United States will effectively retire the internal combustion engine.

If new car sales are going to shift to battery-powered electric vehicles (EVs), Wang explained, they’ll need to overcome two major drawbacks: they are too slow to recharge and too large to be efficient and affordable. Instead of taking a few minutes at the gas pump, depending on the battery, some EVs can take all day to recharge.

“Our fast-charging technology works for most energy-dense batteries and will open a new possibility to downsize electric vehicle batteries from 150 to 50 kWh without causing drivers to feel range anxiety,” said Wang, whose lab partnered with State College-based startup EC Power to develop the technology. “The smaller, faster-charging batteries will dramatically cut down battery cost and usage of critical raw materials such as cobalt, graphite and lithium, enabling mass adoption of affordable electric cars.”

The technology relies on internal thermal modulation, an active method of temperature control to demand the best performance possible from the battery, Wang explained. Batteries operate most efficiently when they are hot, but not too hot. Keeping batteries consistently at just the right temperature has been major challenge for battery engineers. Historically, they have relied on external, bulky heating and cooling systems to regulate battery temperature, which respond slowly and waste a lot of energy, Wang said.

Wang and his team decided to instead regulate the temperature from inside the battery. The researchers developed a new battery structure that adds an ultrathin nickel foil as the fourth component besides anode, electrolyte and cathode. Acting as a stimulus, the nickel foil self-regulates the battery’s temperature and reactivity which allows for 10-minute fast charging on just about any EV battery, Wang explained.

“True fast-charging batteries would have immediate impact,” the researchers write. “Since there are not enough raw minerals for every internal combustion engine car to be replaced by a 150 kWh-equipped EV, fast charging is imperative for EVs to go mainstream.”

The study’s partner, EC Power, is working to manufacture and commercialize the fast-charging battery for an affordable and sustainable future of vehicle electrification, Wang said.

The other coauthors on the study are Teng Liu, Xiao-Guang Yang, Shanhai Ge and Yongjun Leng of Penn State and Nathaniel Stanley, Eric Rountree and Brian McCarthy of EC Power.

The work was supported by the U.S. Department of Energy, the U.S. Department of Defense, the U.S. Air Force and the William E. Diefenderfer Endowment."
65,"A novel technique that uses a beta blocker to interfere with memory reconsolidation shows promise in the treatment of adjustment disorder following romantic betrayal, according to new research published in the Journal of Affective Disorders.

Adjustment disorder is a condition that can occur in response to a significant life event or change. While it is normal to feel some degree of anxiety or distress in such situations, people with adjustment disorder experience more intense and long-lasting symptoms that interfere with their ability to cope. These may include difficulty sleeping, depressed mood, social withdrawal, and difficulty concentrating. In severe cases, adjustment disorder can lead to self-harm or suicidal thoughts.

“There is no recognized empirically-based treatment for adjustment disorders,” said study author Alain Brunet, a clinical psychologist and psychiatry professor at McGill University. “This is an oddity. We were interested in determining if the good clinical results we had obtained in treating PTSD with Reconsolidation Therapy applied to a broader set of trauma-like conditions, hence our interest for adjustment disorder.”

“Romantic Betrayal (a form of adjustment disorder) seemed like an interesting topic to study because, first, it is very distressing. Second, it is one of the most common reason why individuals seek professional help. Finally, there is very little help available for romantically betrayed individuals who do not wish to return with their partner.”

Propranolol is a beta blocker that is often prescribed for high blood pressure, migraines, and certain anxiety disorders. But the drug has also been shown to weaken the emotional tone of memories by blocking adrenergic pathways.

“Reconsolidation Therapy consist in recalling a bad memory under the influence of propranolol with the help of a trained therapist,” Brunet explained. “This treatment approach is a translational treatment stemming from the research in neuroscience which stipulates that a recalled memory needs to be saved again to long-term memory storage in order to persist. Interfering with the storage process will yield a degraded (less emotional) memory.”

In the new study, Brunet and his colleagues recruited adults who met the DSM-5 criteria for adjustment disorder. The participants had all experienced a romantic betrayal event, such as infidelity, that occurred during a monogamous long-term relationship.

The researchers asked the participants to write a first-person narrative of their romantic betrayal/abandonment event. The participants were told to focus on the most emotionally provocative aspects of the event and to include stress-related reactions, such as feeling tense, trembling, and sweating. During treatment sessions, the participants ingested propranolol before reading their narrative out loud once. Fifty-five participants completed at least one treatment session, while 48 completed all five sessions.

To assess clinically significant symptoms, the participants completed a widely used questionnaire known as the Impact of Event Scale — Revised (IES-R) before, during, and after the treatment phase. The researchers observed a large drop in IES-R scores immediately following the first treatment. The declines in IES-R scores continued over the course of the treatment phase. Thirty-five participants who completed a follow-up survey provided evidence that the improvements in symptom endured up to 4 months.

“Our study suggests that Reconsolidation Therapy works with adjustment disorder, in that it is clearly superior to a wait-list group (subjects were their own control),” Brunet told PsyPost. “The magnitude of the pre-post treatment improvement compares to results we obtained in our PTSD research.”

Brunet said he was surprised by how high the IES-R scores were prior to treatment. “Looking at the severity of symptoms, were surprised at how painful adjustment disorder can be,” the researcher explained. “Adjustment disorder is no ‘wimpy’ disorder. This is clearly a misconception.”

The study utilized a within-subjects open-label design, which limits the ability to draw strong conclusions about causality. However, the findings provide an important foundation for future research. “In spite of its moderate size, the study is important in that it provides the treatment ‘effect sizes’ required to launch a placebo-controlled randomized controlled trial,” Brunet said.

The study, “Treatment of adjustment disorder stemming from romantic betrayal using memory reactivation under propranolol: A open-label interrupted time series trial“, was authored by Michelle Lonergan, Daniel Saumier, Sereena Pigeon, Pierre E. Etienne, and Alain Brunet."
66,"A research group led by the US Department of Energy's National Renewable Energy Laboratory (NREL) has proposed a new approach to utilize connective heat transfer for solar module cooling in large-scale solar power plants.

Their modeling considers factors such as row spacing, panel height, and tilt angle. It also uses a length scale input to characterize the space through which air moves around or through the solar modules. In the standard models, by contrast, the length often used is a ratio of module dimensions, which ignores PV plant configuration.

“The convective heat transfer curve was generated through computational flow simulations and wind tunnel experiments that allowed for convective heat transfer to be described for a lacunarity length scale value that describes the spacing of the entire PV array through a single length unit,” the scientists said, claiming that using the lacunarity length scale leads to 1.5% more accurate power production.



Their techno-economic analysis considered 1 MW south-facing PV systems located in Phoenix, Arizona, with a fixed tilt angle of 30 degrees over different row spacings, or ground coverage ratio (GCR). The annual land lease cost was assumed at $0.054/m2. The row spacing of the PV plants was varied from two to 11 meters, corresponding to GCR values of 0.73 to 0.08.

“Increasing spacing could enable more varieties of crops and more types of agricultural equipment to be utilized in agrivoltaic systems,” said Jordan Macknick, who leads a different NREL research project focused on agrivoltaics. “That could potentially make these spaced-out solar systems more cost-effective and compatible with larger-scale agriculture.”

Popular content

Through the modeling, the group ascertained that the optimal levelized cost of energy (LCOE) point was $0.29/kWh, with row spacing varying between 4.83 and 7.34 meters. With two-meter spacing, the LCOE was $0.33/kWh, and with 11 meters it was $0.36/kWh.

The group found that the greatest LCOE improvements were registered in climates with low average annual ambient temperatures and moderate to high average annual wind speeds across the US. They presented the modeling in the study “Technoeconomic Analysis of Changing PV Array Convective Cooling Through Changing Array Spacing,” recently published in the IEEE Journal of Photovoltaics.

Other recent proposals for using convective solar module cooling include packing PV panels in close proximity, and taking wind direction and module inclination into account."
67,"Some of the earliest stars yet seen are now coming to light in one of the first images from the James Webb Space Telescope.

Formed roughly 800 million years after the Big Bang, the stars live in dense groups called globular clusters and surround a distant galaxy dubbed the Sparkler, astronomers report in the Oct. 1 Astrophysical Journal Letters. Globular clusters often host some of the oldest stars in contemporary galaxies such as our own, but it’s hard to tell their exact age. The new finding could help researchers pinpoint when such clusters began to form.

Compared to a galaxy, globular clusters are tiny, which makes them hard to see from across the universe. But this time, a gargantuan natural lens in space helped. The Sparkler is one of thousands of galaxies that lie far behind a massive, much closer galaxy cluster called SMACS 0723, which was the subject of the first publicly released science image from the James Webb Space Telescope, or JWST (SN: 7/11/22). The cluster distorts spacetime such that the light from the more distant galaxies behind it is magnified.

For all those remote galaxies, that extra magnification brings out details that have never been seen before. One elongated galaxy surrounded by yellowish blobs got the attention of astronomer Lamiya Mowla and her colleagues.

“When we first saw it, we noticed all those little dots around it that we called ‘the sparkles,’” says Mowla, of the University of Toronto. The team wondered if the sparkles could be globular clusters, close-knit families of stars that are thought to have been born together and stay close to each other throughout their lives (SN: 10/15/20).

“The outstanding question that there still is, is how were the globular clusters themselves born?” Mowla says. Were they born at “cosmic noon,” 10 billion years ago, when star formation throughout the universe peaked? Or did they form 13 billion years ago at “cosmic dawn,” when stars were first able to form at all (SN: 3/4/22)?

Light from the Sparkler takes about 9 billion years to reach Earth, so if the sparkles are globular clusters that shone that long ago, they might help astronomers answer that question.

Zooming into one part of JWST’s image of the galaxy cluster SMACS 0723, astronomers zeroed in on the yellow dots around this one elongated background galaxy, which they called the Sparkler. Some of the dots may be globular clusters of same-age stars formed just a few hundred million years after the Big Bang. L. Mowla et al/The Astrophysical Journal Letters 2022

Mowla and her colleagues used data from JWST to analyze the wavelengths of light coming from the sparkles. Some of them appear to be forming stars at the time when their light left the clusters. But some had formed all their stars long before.

“When we see them, the stars are already about 4 billion years old,” says astrophysicist Kartheik Iyer, also of the University of Toronto.

That means the oldest stars in the sparkles could have formed roughly 13 billion years ago. Since the universe is 13.8 billion years old, “there’s only a short amount of time after the Big Bang when these could have formed,” he says.

In other words, these clusters were born at dawn, not at noon.

Studying more globular clusters around ancient galaxies could help determine if such clusters are common or rare early on in the universe’s history. They could also help unravel galaxies’ formation histories, say Mowla and Iyer. Their team has proposed observations to be made in JWST’s first year that could do just that.

Being able to pick out tiny structures like globular clusters from so far away was almost impossible before JWST, says astronomer Adélaïde Claeyssens of Stockholm University. She was not involved in the new work but led a similar study earlier this year of multiple galaxies magnified by the SMACS 0723 cluster.

“It’s the first time we showed that, with James Webb, we will observe a lot of these type of galaxies with really tiny structures,” Claeyssens says. “James Webb will be a game changer for this field.”"
68,"If you’ve ever played the claw game at an arcade, you know how hard it is to grab and hold onto objects using robotics grippers. Imagine how much more nerve-wracking that game would be if, instead of plush stuffed animals, you were trying to grab a fragile piece of endangered coral or a priceless artifact from a sunken ship.

Most of today’s robotic grippers rely on embedded sensors, complex feedback loops, or advanced machine learning algorithms, combined with the skill of the operator, to grasp fragile or irregularly shaped objects. But researchers from the Harvard John A. Paulson School of Engineering and Applied Sciences (SEAS) have demonstrated an easier way.

Taking inspiration from nature, they designed a new type of soft, robotic gripper that uses a collection of thin tentacles to entangle and ensnare objects, similar to how jellyfish collect stunned prey. Alone, individual tentacles, or filaments, are weak. But together, the collection of filaments can grasp and securely hold heavy and oddly shaped objects. The gripper relies on simple inflation to wrap around objects and doesn’t require sensing, planning, or feedback control.

The research was published in the Proceedings of the National Academy of Sciences (PNAS).

“With this research, we wanted to reimagine how we interact with objects,” said Kaitlyn Becker, former graduate student and postdoctoral fellow at SEAS and first author of the paper. “By taking advantage of the natural compliance of soft robotics and enhancing it with a compliant structure, we designed a gripper that is greater than the sum of its parts and a grasping strategy that can adapt to a range of complex objects with minimal planning and perception.”

Becker is currently an Assistant Professor of Mechanical Engineering at MIT.

The gripper’s strength and adaptability come from its ability to entangle itself with the object it is attempting to grasp. The foot-long filaments are hollow, rubber tubes. One side of the tube has thicker rubber than the other, so when the tube is pressurized, it curls like a pigtail or like straightened hair on a rainy day.

The curls knot and entangle with each other and the object, with each entanglement increasing the strength of the hold. While the collective hold is strong, each contact is individually weak and won’t damage even the most fragile object. To release the object, the filaments are simply depressurized."
69,"We've updated our Privacy Policy to make it clearer how we use your personal data.

We use cookies to provide you with a better experience. You can read our Cookie Policy here."
70,"Questions remain about how to interpret MCED test results. Only some blood tests can pinpoint which organ the cancer is actually in. Lab tests must be run on potentially cancerous tissue to confirm a diagnosis, but you can’t biopsy someone’s entire body. False positives remain an issue for the entire field of cancer screening, which, by design, involves sifting through mounds of healthy tests to find cancer. Galleri—the MCED furthest along the path to widespread use—incorrectly flagged 57 healthy blood samples as cancerous in the aforementioned study.

There’s also a risk of jumping the gun—some cancers never become invasive or life-threatening, but early detection could prompt harsh treatment like chemotherapy. Some data suggests that less worrisome cancers actually show up in the bloodstream less, which could minimize that problem.

The NIC trial will help determine how blood test results for cancer should be interpreted, and it should provide a standard approach to launching cancer screening studies as companies flood the field with new tests.

“I don't think most companies tend to want to compare their tests head to head,” says Timothy Rebbeck, a professor of cancer prevention at Harvard. “It's expensive and difficult. So somebody else, a neutral party like the NCI, needs to.”

Rebbeck thinks the blood tests the new trial will vet will prove most helpful in the cases of pancreatic, liver, and ovarian cancer, which kill often and have no other form of screening. Still, longer trials are needed to confirm whether the time bought by these blood tests saves lives.

But Rebbeck is optimistic about the Cancer Moonshot’s ultimate goal: “It seems very realistic to me to think that we could reduce death by half,” he says."
71,"In a non peer-reviewed paper published on arXiv, Humphreys claims to have provided the most complete characterization of Starlink’s signals to date. This information, he says, is the first step toward developing a new global navigation technology that would operate independently of GPS or its European, Russian, and Chinese equivalents.

“The Starlink system signal is a closely guarded secret,” says Humphreys. “Even in our early discussions, when SpaceX was being more cooperative, they didn’t reveal any of the signal structure to us. We had to start from scratch, building basically a little radio telescope to eavesdrop on their signals.”

To get the project started, UT Austin acquired a Starlink terminal and used it to stream high-definition tennis videos of Rafael Nadal from YouTube. This provided a constant source of Starlink signals that a separate nearby antenna could listen in on.

Humphreys quickly realized that Starlink relies on a technology called orthogonal frequency-division multiplexing (OFDM). OFDM is an efficient method of encoding digital transmissions, originally developed at Bell Labs in the 1960s and now used in Wi-Fi and 5G. “OFDM is all the rage,” says Mark Psiaki, a GPS expert and aerospace professor at Virginia Tech. “It’s a way to pack the most bits per second into a given bandwidth.”

The UT Austin researchers did not try to break Starlink’s encryption or access any user data coming down from satellites. Instead, they sought out synchronization sequences—predictable, repeating signals beamed down by the satellites in orbit to help receivers coordinate with them. Not only did Humphreys find such sequences, but “we were pleasantly surprised to find that they [had] more synchronization sequences than is strictly required,” he says.

Each sequence also contains clues to the satellite’s distance and velocity. With the Starlink satellites transmitting about four sequences every millisecond “that’s just wonderful for dual use of their system for positioning,” says Humphreys.

If the terrestrial receiver has a good idea of the satellites’ movements—which SpaceX shares online to reduce the risk of orbital collisions—it can use the sequences’ regularity to work out which satellite they came from, and then calculate the distance to that satellite. By repeating this process for multiple satellites, a receiver can locate itself to within about 30 meters, says Humphreys."
72,"It is a long way from the romance of a sun-dappled Highland glen. Picture instead a white cube equipped with the computer-controlled automation you would sooner expect to see in an Amazon or Ikea warehouse.

Scotland’s state forestry agency believes this prefabricated structure, erected at an agricultural research centre near Dundee, could play a significant part in its quest to help combat climate heating by greatly expanding the country’s forest cover.

Forestry and Land Scotland (FLS) wants to plant tens of millions of new trees in the coming years – conifers such as Norway and sitka spruce, douglas fir and Scots pine, and broadleaf varieties such as oak, alder and birch.

This white cube, held up by steel ribs and girders, can help it do so at a remarkable speed and efficiency, producing saplings six times faster than it takes to grow them naturally outdoors. In the open, it would take about 18 months to bring a tree seedling up to 40-50mm in height; in these units, that growing time is about 90 days.

“Essentially, this isn’t a building. It’s a machine; it’s a growing machine,” said Georgia Lea, a communications manager for Intelligent Growth Solutions (IGS), the Edinburgh-based firm that has designed the system.

The “vertical farm” uses hydroponics, where plants are grown indoors in very tightly controlled conditions. The type of light, temperature, humidity and nutrition can be tailored for each plant, far more so than in a greenhouse or polytunnel. “It’s better than a summer’s day. It’s totally an optimal environment,” Lea said.

The unit can hold eight towers each carrying 52 trays of seedlings. Photograph: Murdo MacLeod/The Guardian

In the IGS unit at the James Hutton Institute, an agricultural sciences research centre at Invergowrie, technicians use iPads to control stacks of tightly packed shelves held in a cluster of automated towers standing 9 metres tall. Robots deliver trays of seedlings to the shelves. On the underside of each shelf, rows of LED lights shine on the chillis, birch, alder, strawberries and basil on the shelf below, tuned to provide the exact spectrum of light each crop needs.

Plastic drainpipes feed in water that carries fertiliser, with doses controlled by computer. The water is harvested from Tayside’s copious rainfall, cleaned and reused in a closed-loop system. The building is entered through a pressurised airlock designed to protect its microclimate.

This particular unit covers 42 square metres and can hold eight towers, each carrying 52 trays of seedlings. In theory, that can allow FLS to grow 3m seedlings at a time, at a significantly faster pace and using a fraction of the area needed for conventional growing.

FLS, previously known as the Forestry Commission, believes Scotland would be the first country in the world where the state forester uses hydroponics for its tree stocks. It hopes the Scottish government will soon agree to approve the purchase of one of these multimillion-pound units.

After running three batches designed to prove the concept worked for trees, tweaking the “recipe” of light and nutrition to suit each species, FLS is on its sixth trial run. Many thousands of spruce, pine and broadleaves from earlier trials are now “hardening off” for years at its open-air nursery at Newton near Elgins, before being taken to the plantations carpeting parts of the Highlands.

FLS ran three batches designed to prove the concept worked for trees, and is now on its sixth trial run. Photograph: Murdo MacLeod/The Guardian

“We came along, looked at the system and were blown away by it. It has real potential,” said Kenny Hay, FLS’s tree seed resource manager.

Until it began working with FLS, IGS had been growing pak choi, carrots, seed potatoes and herbs, alongside edible nasturtiums, marigolds and strawberry runners, as samples to show to potential buyers of its systems.

Sign up to Down to Earth Free weekly newsletter The planet's most important stories. Get all the week's environment news - the good, the bad and the essential Privacy Notice: Newsletters may contain info about charities, online ads, and content funded by outside parties. For more information see our Newsletters may contain info about charities, online ads, and content funded by outside parties. For more information see our Privacy Policy . We use Google reCaptcha to protect our website and the Google Privacy Policy and Terms of Service apply.

The tree trials threw up one problem: earlier batches grew too fast, leaving saplings too soft to withstand the wind once they were planted out at Newton. FLS and IGS have slowed things down, to ensure the saplings are stronger just above their roots. “We’re doing everything and anything to see what this system does,” Hay said.

These experiments have a much greater success rate than normal methods, he said. Traditionally, seeds would be scattered by machine across a nursery bed, known as broadcast sowing. Up to 50% of those seeds may fail to produce saplings. In these optimised towers, the survival rate is about 95%.

Hay predicts that if FLS buys and runs its own growing tower, it could produce up to 60% of the 24m new trees the agency needs each year – chiefly commercially planted conifers to meet the UK’s timber needs, of which 80% is currently imported.

Alder seedlings at the vertical farm. Photograph: Murdo MacLeod/The Guardian

In the Cairngorm mountains to the north of Invergowrie, conservation-minded landowners such as the National Trust for Scotland at Mar Lodge, or Anders Povlsen at Glenfeshie, are allowing their forests to regenerate slowly using naturally fallen seeds, a strategy that fits far more closely with the ethics of rewilding.

FLS feels a greater sense of urgency. The UK’s central and devolved governments have set a challenging target of planting 30,000 hectares (74,131 acres) of new forestry every year by 2025, to help meet their net zero ambitions.

The latest official data shows the UK is some way off meeting that target. Planting rates fell sharply 20 years ago, and the UK failed to restock the mature forests that had been felled.

With that in mind, Hay is delighted by the potential of vertical farming. “These are great-looking trees. I have no issues whatsoever that we can make these trees work,” he said."
