tech,01/04/2001,01/07/2001,01/08/2001,01/09/2001,01/10/2001,01/11/2001,01/12/2001,01/01/2002,01/02/2002,01/03/2002,01/04/2002,01/05/2002,01/06/2002,01/07/2002,01/08/2002,01/09/2002,01/10/2002,01/11/2002,01/12/2002,01/01/2003,01/02/2003,01/03/2003,01/04/2003,01/05/2003,01/06/2003,01/07/2003,01/08/2003,01/09/2003,01/10/2003,01/11/2003,01/12/2003,01/01/2004,01/02/2004,01/03/2004,01/04/2004,01/05/2004,01/06/2004,01/07/2004,01/08/2004,01/09/2004,01/10/2004,01/11/2004,01/12/2004,01/01/2005,01/02/2005,01/03/2005,01/04/2005,01/05/2005,01/06/2005,01/07/2005,01/08/2005,01/09/2005,01/10/2005,01/11/2005,01/12/2005,01/01/2006,01/02/2006,01/03/2006,01/04/2006,01/05/2006,01/06/2006,01/07/2006,01/08/2006,01/09/2006,01/10/2006,01/11/2006,01/12/2006,01/01/2007,01/02/2007,01/03/2007,01/04/2007,01/05/2007,01/06/2007,01/07/2007,01/08/2007,01/09/2007,01/10/2007,01/11/2007,01/12/2007,01/01/2008,01/02/2008,01/03/2008,01/04/2008,01/05/2008,01/06/2008,01/07/2008,01/08/2008,01/09/2008,01/10/2008,01/11/2008,01/12/2008,01/01/2009,01/02/2009,01/03/2009,01/04/2009,01/05/2009,01/06/2009,01/07/2009,01/08/2009,01/09/2009,01/10/2009,01/11/2009,01/12/2009,01/01/2010,01/02/2010,01/03/2010,01/04/2010,01/05/2010,01/06/2010,01/07/2010,01/08/2010,01/09/2010,01/10/2010,01/11/2010,01/12/2010,01/01/2011,01/02/2011,01/03/2011,01/04/2011,01/05/2011,01/06/2011,01/07/2011,01/08/2011,01/09/2011,01/10/2011,01/11/2011,01/12/2011,01/01/2012,01/02/2012,01/03/2012,01/04/2012,01/05/2012,01/06/2012,01/07/2012,01/08/2012,01/09/2012,01/10/2012,01/11/2012,01/12/2012,01/01/2013,01/02/2013,01/03/2013,01/04/2013,01/05/2013,01/06/2013,01/07/2013,01/08/2013,01/09/2013,01/10/2013,01/11/2013,01/12/2013,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019,01/01/2020,01/02/2020,01/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021
Li-Fi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159,2255,2530,2530,2463,0,0,0,2556,0,2603,0,2559,2680,2675,2570,4497,4469,4464,4476,6850,8011,7879,13826,13779,15895,16704,16705,16756,17295,17905,17932,17763,17908,17763,17724,17729,17955,17582,17431,17471,18504,18503,18417,18458,19121,18944,19542,19704,19925,20347,20066,20191,19978,19542,19557,19523,19499,23583,23665,25154,25314,25175,25102,25038,25403,26601,26875,26701,26833,27763,36681,38539,39200,40354,38372,38211,39782,38339,38798,38701,34685,34905,34685,34716,35834,0,35298,0,39431,39263,39245,39313,39616,39363,39415,39480,39993,40024,39835,39991,39134,39219,39380,39295,0,0,39358,39424,39739,39795,40146,40095,39723,39749,0,0,39191,0
Lidar,0,0,0,0,0,0,0,0,161,0,0,0,0,2265,5221,4990,4991,4990,0,0,5932,0,0,0,0,0,0,0,0,0,7165,7170,0,7195,7199,8106,8129,8157,0,8171,0,7836,8094,7986,0,8062,0,8370,8626,8698,9329,9619,10310,10430,10680,10784,11025,43243,10055,10841,11044,11618,12129,12601,13586,13689,14304,15406,15938,16191,16248,16536,16560,16558,22448,20159,20689,20819,20884,0,20809,22165,22086,22106,21985,23646,23503,23605,23298,23852,23661,26135,26143,27258,28067,28686,28697,28756,28924,29395,29701,29717,29875,29946,30101,30243,31197,31470,32780,33754,35217,35148,35282,35420,35572,36275,36240,33860,33873,33907,34999,35477,35455,35848,33893,34199,34176,34607,34619,34983,35527,35625,36168,36172,33356,34618,34928,34892,35203,35168,35002,35176,35347,39230,39786,39983,40000,40537,41344,41722,42600,42497,45000,45058,46557,48682,48596,48724,48724,48796,48923,50966,51760,51896,52759,53899,53904,54023,54274,54258,54381,54552,54558,54559,55247,59631,61865,61901,64226,64319,64027,67316,67613,67794,67851,88658,94187,95592,95374,98498,100336,101219,101219,101218,100943,102078,101992,102332,102218,102222,100271,100916,101365,101367,104478,104604,104662,104912,103619,104621,105455,106101,106969,110903,111970,110877,111986,112270,112842,116698,116989,116945,117555,117874,119611,119828,120951,121439,122715,123955,124224,124562,124728,124555,125540,125498,129262,128626,128503,128978,129230,130548,132193,132832,133292,0
Life-cycle assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,891,893,1083,0,1099,0,0,1098,1106,1196,0,1200,1217,0,0,0,0,0,1282,0,0,0,983,1000,1946,1946,2005,2191,2790,3434,3984,0,9363,7264,7219,8854,10183,10555,12068,12171,12338,12826,13157,13959,14265,14605,14741,15033,15422,15060,15151,15231,15372,15419,18571,17390,17579,17583,17684,17999,18070,17374,17443,18155,18002,19888,19870,19980,20092,21983,22051,24644,24646,24798,24705,26457,38941,38898,38808,39411,39031,38585,38585,39138,39273,39543,39557,39560,40496,41767,41078,41394,41560,41626,41776,42118,42126,42095,42088,42200,45112,45399,43405,43319,43191,42501,43297,44769,43888,44043,44057,0,0,44052,0,44275,44317,44317,44321,44440,44528,44973,0,0,44974,44978,44974,44772,44798,44878,44878,44908,44919,0,44982,0,45016,0,46468,45129,45147,45220,45427,46361,46415,0,47529,50161,50187,50607,50605,49842,50310,50413,50417,51673,51696,51722,0,51753,53687,54845,53494,53861,53860,53917,0,53925,53904,0,54986,55048,55056,55071,55051,55144,55135,54961,52558,52588,52599,52971,52498,52599,52395,52397,64711,64166,64247,63930,65746,65630,65962,65968,66932,0,66467,66490,82619,82358,82353,82672,82674,83177,83155,83635,86243,88853,89041,0
Liquid Crystal Elastomers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2977,3193,3242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872,0,0,0,3899,0,3823,0,3226,0,0,0,0,0,0,0,0,0,3221,0,0,0,0,0,0,0,0,0,0,0
Liquid fluoride thorium reactor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,33,0,0,2112,2150,2188,1933,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28651,40903,44267,48822,48898,51353,77933,108070,100646,101416,103072,102444,111271,111543,114594,115750,112196,110455,109702,110289,110311,109384,108651,106641,106637,106628,106817,102754,103132,103154,103123,103573,103633,104629,104813,105097,106866,106330,106347,106680,108196,108314,108248,107946,107946,107210,108495,108899,109250,108095,105658,105448,105915,105491,105746,105751,105954,0,105991,105992,106267,106774,106617,0,0,105911,107641,107668,108122,108745,109989,110047,110061,111174,111647,0,111640,0,111643,111641,0,111666,0,0,111658,112029,0,111956,111862,111849,111974,113690,113699,113931,0,114023,114040,114108,114015,0,114628,114891,115009,0,115011,0,0,115063,115078,115057,115153,0,0,0,0,115187,114870,0,114908,115233,114043,0
Digital forensics tools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2222,3664,4946,5116,5116,5390,5706,0,0,5956,6072,6388,6650,6677,0,0,6751,7848,7978,8075,8075,0,8456,8804,9009,0,9660,10614,11173,11159,11557,11739,12421,0,12634,13204,14895,14896,15997,0,8392,8627,9018,9833,9044,9633,9766,9884,10703,11315,11605,12148,9051,9825,13313,15508,15608,16223,16237,13305,7844,7783,0,7762,7893,0,8628,8600,9104,0,0,9244,10383,11653,11832,12669,12220,12888,9607,0,0,0,9398,9632,9763,7911,8335,8719,9122,0,0,8745,0,9017,9523,9696,9819,11976,11978,12274,12270,12341,13213,13776,14018,0,14177,14213,0,14213,14361,14278,0,14320,12168,12348,12344,12593,13025,13459,0,13456,0,13758,14061,14056,14257,14373,0,14485,14864,0,11819
Megatall skyscrapers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768,2801,4425,0,0,0,0,0,0,4140,0,0,0,4140,0,4536,4536,4300,0,0,0,4195,4330,0,4330,3896,0,3897,0,0,0,0,0,3885,4070,0,0,4311,4529,0,0,4842,4964,4836,4845,4857,5010,5003
Lithium-sulfur battery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,1747,3020,3116,3136,3165,3203,3203,3245,5364,0,0,7915,7916,0,0,7915,8192,8002,8293,8292,8391,8435,0,8489,0,8523,0,0,0,0,8559,8561,8517,0,8518,0,8538,0,8550,8507,0,9681,0,9625,0,9686,9696,9727,0,9729,9745,9745,9708,0,9546,11865,0,14120,14120,0,0,14120,0,13442,13060,13618,12822,0,0,12844,13507,0,0,13949,14639,14641,15465,16468,16503,17244,17240,0,17259,18537,19343,21037,21034,21254,22664,22664,22664,22665,22666,0,22665,23548,23498,23856,0,23821,24229,24676,24722,25549,26705,0,26835,0,27050,27530,27555,0,27679,0,0,27775,27775,0,0,27779,0,27779,27421,0,0,27373,0,0,0,0,35525,34981,35730,35772,35917,36004,41454,0,41571,42623,43917,44291,44291,44337,0,0,0,44215,0,0,44226,44672,0,45761,44684,0,45492,46494,0
Lithium ion battery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3489,0,0,3491,0,0,0,0,3935,4069,0,4060,4091,0,0,0,5503,4150,4156,0,4155,4156,19708,4182,4636,4848,4280,6250,6093,7298,7646,8011,9420,11746,12284,13847,13917,14491,14771,15231,15180,17528,18945,20928,20957,22269,23253,23636,24495,24459,25527,29037,26379,27336,29337,32220,33261,39360,40637,41312,43153,44322,45067,45473,46959,47337,46158,45913,50012,47838,49642,49915,51294,51699,55971,54126,55410,57526,53811,58064,61789,62529,62967,61373,62842,63153,63031,56784,57554,55988,56190,56400,58288,59781,59168,58058,58690,58159,59906,62049,63131,64563,64471,65521,65699,63607,61879,62125,63960,65135,66559,70056,70126,71005,70038,70054,70583,71689,71864,72017,199584,72605,73127,75535,75756,75815,77083,76633,77661,84260,88356,97489,99238,86350,70259,70898,71850,72054,70791,71799,72155,74615,76211,75857,75859,82866,82853,84017,85573,92336,97223,97621,99472,100092,101364,102021,102649,104807,105416,110234,110521,110526,113335,114060,119455,117552,119370,120598,126399,126550,126526,124770,125870,126222,127148,128951,129987,130173,131173,135021,135090,135031,136184,135689,142029,142033,145756,145574,144770,140400,141510,142119,142771,145055,149895,147757,148898,148971,150921,153327,153701,155169,156720,157720,157759,158615,158826,160328,161326,162176,162310,171354,180791,181465,181464,182536,182549,184324,184066,183983,184606,184474,185155,189161,156599
Lithium iron phosphate battery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3869,3945,0,3894,3978,4458,4521,0,4344,0,5957,6395,7000,7790,9295,6248,6490,6676,6738,7315,7947,7765,8184,8349,10586,10695,11811,12216,12472,12798,13756,14270,15980,13982,14085,14061,14137,14263,14091,14060,13881,13648,14003,14136,14142,14044,14346,14246,17040,15507,15535,15665,15832,0,16114,16115,16249,0,15492,15505,15467,15508,15507,14662,15060,15242,15090,16334,16426,0,16570,16459,16547,16785,17049,16742,16743,16107,16289,17262,17394,17194,17195,17362,17320,0,17116,17112,18068,18099,18500,18598,18580,0,19058,19168,19614,20195,20131,20227,20200,0,19963,20025,19893,19906,0,20455,20467,20563,21437,20706,20981,0,21176,21197,0,21210,21623,21654,0,21769,21860,21910,22055,22051,0,22496,22496,22497,23176,23218,23219,23750,0,18956,19130,22530,22684,22689,23817,23895,24288,22645,0,22988,23070,22966,23778,23765,23566,23592,24050,24066,23005,22845,22973,23186,22981,22762,22778,0,23704,23948,23622,23735,24078,24105,24118,24684,24638,24644,24993,25585,27279,25860,26357,26529,26976,0
Lithium-air battery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5720,5845,6717,8064,8584,8593,8690,8703,0,8893,0,0,8266,8266,8266,8296,0,8221,8267,8655,8751,0,9282,9253,9245,9245,10336,28714,28711,28556,28577,28594,28611,28595,29062,29056,29080,29083,29202,29230,0,29271,29231,29163,29169,29221,24623,23189,22637,22614,0,23349,23356,23592,23581,0,0,23566,23548,0,23510,23509,0,23598,0,24962,25151,25657,0,25396,25423,30556,32228,32219,32324,32559,33902,42329,42153,42209,42660,42732,0,42919,0,44637,42362,41821,41883,42597,42593,42566,42567,42592,42749,42596,42596,42610,42673,42659,42341,42168,0,42230,41973,0,0,42381,42385,52906,43963,43069,43196,43188,43051,43069,0,0,43301,0,43579,0,0,44290,0,45647,44408,43421,43792,43812,0,0,0,0,0,43601,43605,43617,43283,0,43164,0,0,0,0,0,43154
Mobile learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617,0,0,6983,8234,8238,3259,1978,1974,2024,5291,6198,6904,6732,6599,6807,6935,6954,7040,8170,8051,8603,8146,9248,8853,9545,9553,9479,8931,9026,8671,8649,9199,10416,11016,11294,10719,8849,8736,8665,8754,10057,9491,9293,9726,13144,11992,13165,13299,13641,14452,14607,14742,21616,19280,17027,17081,20225,20506,20904,20958,22624,22889,22877,24067,24262,22058,20960,20503,21138,20493,21075,21284,21100,21114,21119,21495,21568,20318,20320,0,0,21689,0,20372,0,20367,0,20402,20414,20626,20660,21051,21978,22363,22364,22454,22453,22079,22044,21845,22032,0,22946,0,0,22956,23057,23902,26635,26128,26076,26886,26790,27172,20467,16039,17203,16452,0,16355,18569,0,18083,18095,18058,17791,0,17877,17588,17781,22037,22400,24006,22383,22087,0,0,0,23473,23880,0,23862,23970,0,0,23971,24096,24338,0,24346,0,24467,25837,0,0,25374,25372,0,25372,28786,28817,0,28923,28845,0,33143,33014,32650,32427,0,33087,0,32349,32347,32343,32086,32085,0,32737,32104,32201,33182,33239,0,33374,33473,34434,0,34500,0,34486,34826,38982,0,34852,34870,0,34875,34879,0,0,0
MAHEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,0,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,0,0,0,1419,1447,0,0,1713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452,0,0,0,0,0,0,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,1421,1464,1421,1548,1614,1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,0,0,0,0,0,1579,0,0,0,0,1636,0,0,0,0,0,0,0,0
MGM-166 LOSAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,0,1383,0,0,0,1429,0,1309,0,0,0,0,0,0,1472,0,0,0,0,1487,1554,0,0,0,1573,0,1551,0,1551,0,0,0,0,0,5759,5542,5597,0,0,0,5614,5619,0,0,5622,0,0,0,5623,0,0,0,0,0,0,0,0,0,0,0,0,0,5635,5642,0,5639,0,0,0,0,0,5663,0,0,5807,0,0,0,5764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5763,5775,0,0,5733,0,0,0,0,0,0,0,0,0,0,0,0,5918,0,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5729,0,0,0,0,5720,0,0,0,0,0,0,0,5711,0,0,0,0,0,0,0,0,5810,0,0,0,0,0,0,0,0,0,5821,0,5858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine translation,0,0,0,764,0,795,0,1085,1076,0,0,1170,1292,0,0,1357,1536,0,0,1595,1610,1693,1693,2467,3553,0,3607,3799,4404,4433,4463,5067,5184,5304,5770,19638,6762,6820,9994,0,10432,10614,10599,10853,10522,26051,26272,26069,26312,27989,28972,29560,29845,13356,12690,16739,18716,18337,15348,14245,15330,15360,15546,17611,19093,18542,19582,18122,18877,19043,18708,19232,18913,19077,19735,19616,19909,18615,18102,18144,17643,17431,18267,18573,18851,19125,19330,21372,21442,21642,21968,21868,20789,20616,21589,22414,22329,24719,25479,25495,25556,25693,26195,26410,26484,27095,27390,27760,27807,28311,28533,28540,28772,28774,29270,30822,31467,31942,31642,31754,31897,32201,32199,32512,32956,33538,34139,34368,34165,34196,34221,38645,54866,45539,45648,45610,46307,49489,37875,37916,38013,36060,36128,36021,35999,36332,35888,37157,38647,42849,42955,43049,42945,46520,50961,51102,51116,51030,51136,51760,51936,52013,52017,49587,50456,50684,50477,50543,50367,50366,0,50364,52053,50527,50510,0,50556,50579,49899,50116,0,50311,50088,50267,49978,49977,50541,0,51132,52093,52280,52309,54132,85111,0,56383,55046,55971,56424,57227,57191,57376,0,57742,58444,57742,57218,56829,57011,57011,57637,0,57872,56102,56106,56646,56104,56118,56245,56686,56834,58193,58763,58160,58204,58315,58505,58942,58969,59000,59051,58631,58637,58605,58684,58646,0,58515,59088,60910,60918,60953,0,60957,69635,0
Machine vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5454,0,0,0,0,0,5448,0,0,0,0,0,0,0,0,0,0,5471,5625,5674,0,5793,5904,6046,0,0,6380,6702,7492,7538,10072,10499,0,10610,11014,12564,10879,11121,11109,11095,11357,11580,11734,12135,12466,12767,13478,13660,14023,14465,14374,11553,12149,11957,12000,12153,12238,12358,12647,12543,12093,12175,12355,12481,12534,22763,12553,12638,12625,12594,12680,12794,12891,0,0,12822,12871,12900,12967,13092,12636,12686,13394,13341,13400,0,13797,13860,13891,13928,14439,14557,0,14608,10728,9194,7723,7791,0,0,8031,14640,11424,11316,11241,11240,11367,11537,11421,0,11474,0,12728,15476,15411,15447,15426,0,15600,16459,16411,16081,16645,16849,17028,17083,0,0,0,18212,17689,0,18892,18891,18893,19351,0,0,19712,19718,20282,20312,0,0,19942,0,20546,0,20610,20614,20685,20633,20944,20790,0,20707,0,20715,0,20744,0,20906,0,0,20949,21332,21364,21389,21192,22801,23048,23051,0,23090,0,23401,23402,23436,23456,0,24013,24050,24015,0,24015,24019,24801,24783,24742,24795,0,24795,24825,0,24819,24816,0,24814,24806,24795,24809,25087,25963,0,26032,25580,25724,25843,25976,0,0,0,25964,25742,0,25764,0,26557,0,0,25883,0,0,25873,0,0,0
Maglev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8371,8390,8467,8540,8681,9080,9571,9780,10045,9956,9984,11116,10996,12719,14418,16501,19732,25711,26903,29676,46417,32907,32934,33593,33994,32472,38112,38048,38927,34011,33779,35846,38758,41925,80721,37844,37310,41630,86890,48508,44556,45638,45730,47240,54017,53406,49610,49492,46972,49411,69778,51784,57155,57345,58040,60289,61366,61435,63168,62705,61529,61619,75228,74919,74833,75006,75358,76041,75873,76689,76300,76436,76149,76518,77064,77208,77954,78731,82551,82434,82343,82474,84511,85301,85172,89663,90762,91934,92671,92343,93725,93648,93736,94018,95584,95624,95608,95203,95232,96642,97642,97673,97666,97595,96941,97194,97791,97922,98024,98287,97841,98009,99791,99801,99409,99655,99841,106413,100190,101777,101935,101921,102435,101995,104434,107177,107965,100634,101433,104101,103906,103955,104182,104156,103587,103680,103053,103278,103508,106770,106908,106658,106791,106939,107181,106629,106615,106597,106825,107221,108326,108411,108559,108378,110798,111744,111760,112547,110930,110955,110749,110887,110921,111179,111733,111742,112375,112560,112987,113052,113147,116645,117816,118083,118067,118067,118095,117581,117821,118490,118445,119830,119904,120687,117775,117797,117794,118303,119099,119879,119332,119901,120510,121692,122375,122607,122462,122481,122485,121350,121938,122064,122396,125315,133560,133591,134638,134059,134082
Magnesium battery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,0,0,0,0,0,0,913,909,0,953,0,0,0,55,0,55,14424,16517,0,17801,0,17788,17827,17827,17819,19219,19371,18717,0,18763,18787,20385,0,20385,0,0,20056,20072,0,20272,0,0,20316,20329,20877,0,0,0,20685,0,20601,20615,0,20509,0,22545,0,0,23000,24642,24644,25004,0,24997,0,28328,28436,28714,28556,0,28575,28621,28619,28665,0,0,0,0,0,28685,0,0,0,28852,0,0
Magnetic nanoparticles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3362,3451,4414,5292,5676,0,6012,5985,0,0,5995,0,6076,4925,0,0,4931,4935,4894,0,0,0,0,0,4948,0,5114,0,0,0,0,5286,5338,0,0,6015,15117,0,15119,15270,15034,15962,18489,18497,19825,0,0,20144,20215,0,0,20246,20483,0,20500,0,20468,20490,20586,21810,21635,0,21714,21655,21690,22176,0,0,22170,22156,0,0,0,22295,0,22334,0,22345,22349,0,22324,0,22689,28820,30864,0,31308,31433,32527,0,0,31666,0,32491,31690,31653,31651,31660,31922,0,35863,35703,35995,0,38348,38582,38933,39249,38746,0,41830,0,42392,42557,42809,42794,42767,0,42797,42796,0,43027,42840,0,0,43572,43870,0,0,45864,45204,45500,45951,45984,0,46209,0,0,46083,46116,46212,47394,49219,49085,50275,0,0,0,0,53565,53567,53846,53796,56148,0,0,53772,0,53812,0,53814,0,0,0
