tech,01/04/2001,01/07/2001,01/08/2001,01/09/2001,01/10/2001,01/11/2001,01/12/2001,01/01/2002,01/02/2002,01/03/2002,01/04/2002,01/05/2002,01/06/2002,01/07/2002,01/08/2002,01/09/2002,01/10/2002,01/11/2002,01/12/2002,01/01/2003,01/02/2003,01/03/2003,01/04/2003,01/05/2003,01/06/2003,01/07/2003,01/08/2003,01/09/2003,01/10/2003,01/11/2003,01/12/2003,01/01/2004,01/02/2004,01/03/2004,01/04/2004,01/05/2004,01/06/2004,01/07/2004,01/08/2004,01/09/2004,01/10/2004,01/11/2004,01/12/2004,01/01/2005,01/02/2005,01/03/2005,01/04/2005,01/05/2005,01/06/2005,01/07/2005,01/08/2005,01/09/2005,01/10/2005,01/11/2005,01/12/2005,01/01/2006,01/02/2006,01/03/2006,01/04/2006,01/05/2006,01/06/2006,01/07/2006,01/08/2006,01/09/2006,01/10/2006,01/11/2006,01/12/2006,01/01/2007,01/02/2007,01/03/2007,01/04/2007,01/05/2007,01/06/2007,01/07/2007,01/08/2007,01/09/2007,01/10/2007,01/11/2007,01/12/2007,01/01/2008,01/02/2008,01/03/2008,01/04/2008,01/05/2008,01/06/2008,01/07/2008,01/08/2008,01/09/2008,01/10/2008,01/11/2008,01/12/2008,01/01/2009,01/02/2009,01/03/2009,01/04/2009,01/05/2009,01/06/2009,01/07/2009,01/08/2009,01/09/2009,01/10/2009,01/11/2009,01/12/2009,01/01/2010,01/02/2010,01/03/2010,01/04/2010,01/05/2010,01/06/2010,01/07/2010,01/08/2010,01/09/2010,01/10/2010,01/11/2010,01/12/2010,01/01/2011,01/02/2011,01/03/2011,01/04/2011,01/05/2011,01/06/2011,01/07/2011,01/08/2011,01/09/2011,01/10/2011,01/11/2011,01/12/2011,01/01/2012,01/02/2012,01/03/2012,01/04/2012,01/05/2012,01/06/2012,01/07/2012,01/08/2012,01/09/2012,01/10/2012,01/11/2012,01/12/2012,01/01/2013,01/02/2013,01/03/2013,01/04/2013,01/05/2013,01/06/2013,01/07/2013,01/08/2013,01/09/2013,01/10/2013,01/11/2013,01/12/2013,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019,01/01/2020,01/02/2020,01/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021
Digital image processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,4,0,0,2,0,4,0,0,4,0,0,4,4,4,0,2,0,10,0,4,0,0,0,0,2,4,6,2,20,2,2,26,8,4,12,4,0,18,0,16,12,2,6,12,14,16,8,4,20,20,8,4,8,2,86,4,10,12,0,20,24,8,6,4,2,18,4,10,14,10,2,16,4,4,6,4,6,10,20,0,8,14,6,10,0,20,6,8,4,0,4,10,12,2,8,8,6,16,6,4,2,0,14,10,8,14,0,22,8,10,0,10,10,2,16,6,6,0,14,6,6,10,6,4,10,18,2,4,2,6,6,2,0,0,0,4,8,0,14,4,4,10,6,6,6,0,0,0,12,0,4,4,2,4,2,4,0,18,8,2,8,10,6,8,0,2,4,0,10,0,6,22,4,4,2,6,2,4,8,6,2,12,2,8,2,22,2,6,2,8,2,4,2,10,2,10,0,18,6,6,32,16,14,10,6,0,8,10,22,6,22,4,2,4,0,18,0,6,2,0,4,8,0,4,0,8
Digital scent technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,1,3,1,5,0,0,0,2,1,3,0,0,0,0,2,0,8,0,1,5,0,1,2,1,9,2,3,0,0,6,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,22,3,0,4,0,7,0,1,3,0,2,0,0,1,1,0,0,1,1,0,0,3,0,0,0,0,2,4,1,2,1,0,0,0,0,1,1,0,2,0,0,1,0,0,1,2,3,1,0,0,0,0,1,0,4,0,0,1,0,0,3,0,2,0,0
HPM weapons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,1,1,3,1,1,0,0,2,1,2,3,3,2,32,38,17,49,9,23,11,17,14,9,15,19,118,15,14,6,14,17,15,15,3,7,6,9,4,10,6,15,14,11,18,14,8,8,19,15,9,17,24,13,3,14,13,14,3,6,7,9,5,5,7,11,8,12,9,8,20,4,23,10,12,12,12,25,3,8,6,12,3,5,9,1,7,4,0,2,7,11,5,4,3,40,12,8,5,3,4,10,4,2,0,8,5,11,30,18,6,12,29,69,5,6,13,7,8,7,9,5,10,6,7,2,21,6,1,4,6,3,1,1,5,12,7,7,1,5,2,2,1,6,67,22,14,65,20,5,6,8,5,1,40,32,10,6,8,4,13,5,7,12,8,24,4,6,2,3,13,1,4,7,2,6,8,1,3,3,3,12,9,7,8,5,12,2,8,2,2,3,13,4,5,3,7,5,9,2,0,7,4,3,11,6,5,2,19,14,3
Distributed ledger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,3,0,6,2,1,0,0,0,0,1,2,1,6,11,8,5,3,6,13,16,0,2,3,1,6,9,2,3,8,1,2,5,0,1,0,14,0,0,4,1,0,3,0,2,10,0,1,0,2,1,1,11,1,1,2,2,2,0,2,0,0,6,1
Document automation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,2,6,17,22,4,14,5,29,7,1,3,2,4,0,4,3,2,2,7,1,3,4,2,5,9,6,7,2,7,27,3,4,7,7,0,0,5,4,2,2,1,6,3,4,0,2,6,13,3,0,4,9,5,4,8,1,2,3,8,7,11,2,0,1,4,3,1,4,1,0,6,0,0,1,0,2,1,1,1,0,0,5,0,1,0,1,7,0,0,1,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,1,1,0,0,2,5,1,2,3,4,3,0,1,3,0,1,2,0,0,0,0,3,2,10,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,5,0,0,0,2,0,0,0,1,0,3,0,0,1,0
Domed city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,1,0,3,2,0,1,0,0,2,2,1,1,1,1,1,1,3,1,6,0,0,1,1,2,0,0,0,4,2,0,0,4,2,0,1,1,0,2,2,0,1,4,8,2,4,0,0,6,0,0,3,0,2,0,4,0,0,0,2,0,2,1,1,4,0,4,0,2,0,2,0,1,0,1,0,2,0,0,0,0,0,3,2,1,2,0,0,0,4,1,0,1,2,1,3,4,1,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,3,0,2,0,0,0,0,3,1,2,1,0,0,0,5,7,1,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,5,0,0,0,0,0,1,5,1,0,7,0,2,2,1,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1
Drone display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,1,0,6,0,2,3,2,1,1,2,3,0,2,0,0,0,1,15,1,1,0,1,0,1,0,2,0,0,3,1
Drug-eluting stent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65,5,4,2,2,0,8,1,10,14,4,0,1,1,4,5,0,2,8,36,68,15,7,1,1,9,34,4,4,0,2,0,6,0,2,1,2,2,0,1,3,2,1,1,1,4,1,0,0,0,3,2,0,2,1,1,1,0,1,1,4,1,2,1,2,0,0,0,0,0,2,1,0,0,1,2,2,0,4,0,1,0,0,2,2,0,1,2,1,0,5,4,2,1,5,0,0,0,0,0,2,2,2,0,0,0,27,1,1,2,0,0,0,1,20,2,7,2,2,1,1,4,1,0,0,1,0,3,1,1,2,0,0,1,1,0,5,1,2,0,3,0,1,0,2,1,0,1,0,2,9,2,0,0,0,0,2,0,1,1,1,1,5,3,0,2,0,2,0,0,2,1,1,2,1,0,0,1,1,0,0,0,1,0,0
Zero-friction coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,2,0,0,0,0,1,0,0,2,0,1,0,8,3,5,2,5,2,1,1,0,0,1,0,0,15,0,8,0,0,4,1,1,0,2,1,0,4,7,0,1,2,0,0,0,0,0,2,0,0,2,1,4,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,4,0,2,0,1,0,0,4,0,0,0,0,0,4,0,10,1,0,2,0,6,1,6,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Dye-sensitized solar cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,2,0,1,0,5,5,0,0,0,1,1,0,2,0,7,2,0,5,4,4,1,9,24,13,4,11,5,1,10,4,2,12,6,7,3,29,13,4,5,72,22,1,7,7,9,10,5,3,9,14,4,9,12,2,6,4,1,8,21,13,17,6,17,12,5,4,12,9,10,12,3,5,10,4,3,5,5,12,8,3,4,7,9,3,0,2,4,17,4,4,20,1,4,11,10,11,2,3,3,3,6,15,1,1,0,0,1,2,0,3,2,2,0,0,1,1,0,2,0,2,3,1,0,0,0,1,1,1,2,0,10,0,0,0,1,3,0,2,3,1,0,0,1,1,0,2,4,5,2,1,0,2,1,2,9,3,3,0,0,0,0,12,0,1,1,1,2,6,3,0,2,1,0,1,1,0,2,1,0,2,0,1,2,4,4,3,0,1,2,0,2,1,0,0,1,0,1
Dynamic Armor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,1,1,2,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0
e-Reader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,7,3,10,3,4,8,1,13,4,4,7,6,1,19,4,0,8,2,2,0,2,3,7,2,0,3,0,3,7,4,0,0,0,0,7,3,8,2,0,1,0,8,1,0,1,4,9,0,3,3,4,0,0,0,6,8,4,7,1,0,1,3,2,3,1,4,4,8,4,0,0,2,5,0,0,1,5,1,2,0,7,3,3,0,0,2,1,14,0,4,5,2,3,0,2,1,2,1,1,0,0,0,2,9,1,5,2,3,6,2,2,2,1,1,3,3,0,0
E-textiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0,2,0,1,3,0,1,2,0,0,1,4,1,1,1,6,4,0,1,2,1,2,0,3,0,1,1,1,2,0,0,2,2,6,0,4,7,2,2,10,2,2,1,2,1,4,3,0,6,3,1,3,0,0,2,2,1,0,1,4,1,4,4,5,0,0,0,3,3,2,3,1,0,5,0,2,0,0,0,18,9,0,4,14,1,7,1,0,0,1,5,0,5,0,4,2,0,1,1,1,0,1,0,0,2,3,0,5,2,3,3,0,3,1,1,2,2,2,3,3,2,3,2,2,0,0,5,1,0,4,1,1,0,3,4,0,1,1,0,3,2,0
Edge Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,2,2,2,0,1,0,0,5,1,0,1,0,4,0,3,1,1,2,3,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,1,0,1,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,1,2,0,4,0,3,0,2,1,4,0,2,0,0,0,4,2,4,6,0,0,1,2,4,2,3,1,8,5,1,2,0,2,6,1,14,5,18,2,15,9,3,0,11,9,10,25,9,2,6,2,8,9,10,2,13,4,0,9,7,8,0,4,0,4,1,5,4,2,2,1,10,3,15,1,0,1,0
Edge enhancement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Electric vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,4,4,5,2,2,5,4,1,39,5,4,11,3,17,8,9,1,11,10,32,27,106,9,8,5,9,3,18,14,17,31,22,32,54,32,9,26,12,23,13,47,27,29,47,67,28,13,36,27,26,13,36,14,18,25,32,27,40,34,36,65,26,22,55,28,30,29,26,28,26,28,50,29,18,26,21,27,20,13,69,30,33,21,19,30,23,24,45,9,16,9,20,10,18,9,14,16,18,11,23,13,16,17,13,1,10,3,11,10,7,1,5,7,12,9,12,7,11,12,2,18,25,10,10,10,2,4,19,3,7,9,35,16,9,9,2,4,5,5,1,20,7,12,9,5,4,13,4,27,5,3,5,12,4,11,8,5,7,9,1,8,8,2,4,6,4,5,12,5,21,5,13,11,19,11,2,6,0,17,10,10,9,9,14,2,2,11,14,2,9,7,17,6,6,16,14,11,7,4,10,4,10,9,16,8,20,7,17,14,10,10,6,32,92,34,10,6,6
Electroanalgesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,56,9,2,1,3,1,0,2,1,0,0,2,0,0,0,5,3,1,0,1,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,6,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fourth-generation biofuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10,4,0,1,3,0,0,2,2
Electrolaser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,0,0,0,0,0,0,0,0,0,0,3,10,2,5,3,3,2,7,4,1,3,3,2,10,0,5,12,4,2,2,3,1,8,1,8,6,2,3,0,2,4,3,6,4,1,4,1,1,8,1,0,2,0,10,4,0,3,11,1,0,0,2,1,2,0,6,1,1,0,0,1,0,0,0,0,1,0,3,2,2,1,2,2,1,0,1,0,2,1,0,3,6,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,2,2,5,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2,1,1,2,0,0,2,19,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
EMP weapon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,6,14,13,40,14,4,22,7,14,2,5,4,13,3,6,12,9,11,16,5,9,1,10,4,9,24,13,5,16,8,17,5,10,9,0,3,5,4,6,10,11,11,17,3,6,2,9,6,3,3,7,4,16,3,8,5,6,10,4,12,1,0,3,10,6,3,1,9,3,1,4,2,4,5,9,3,2,1,4,2,6,4,7,0,8,0,5,4,4,0,10,0,3,9,27,4,6,1,4,1,6
Reusable rocket technology for orbital rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Electronic cigarette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,19,8,7,7,11,27,35,135,36,19,7,29,10,24,19,10,73,54,30,27,45,42,113,85,56,53,65,100,55,79,129,72,97,132,43,61,75,42,64,40,85,66,91,86,83,12,48,29,89,48,46,38,55,42,45,77,56,39,54,20,95,102,38,58,59,66,58,43,53,71,96,85,254,87,185,330,47,81,60,81,224,319,226,164,40,64,604,900,166,2,0,61,480,352,233,268,174,138,167,440,193,106,134,117,49,73,52,33,32,43,39,81,39,10,29,25,5,47,38,39,67,42,12,8,3,7,22,13,13,55,7,6,24,12,39,31,1,12,25,11,34,6,129,138,42,92,53,42,13,14,231,19,74,57,51,3,15,9,6,24,17,6,6,1,31,16,18,6,18,47,3,6
Electronic nose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,2,0,0,0,1,0,0,3,0,0,10,0,0,1,0,2,1,0,3,0,1,0,1,0,4,0,0,1,7,0,2,0,0,0,5,2,21,0,0,5,3,8,0,2,0,3,2,5,0,7,0,9,9,1,2,8,1,2,0,0,0,0,1,4,3,0,0,0,3,3,3,7,1,0,0,13,1,7,0,3,1,3,0,0,0,0,6,3,2,0,0,0,1,1,0,0,0,1,0,2,0,0,0,6,0,0,1,0,0,2,1,3,2,0,1,1,4,0,1,4,0,1,0,1,2,1,7,0,0,0,3,1,2,0,0,1,1,0,1,1,3,0,5,4,5,0,0,3,1,1,0,3,2,2,5,3,3,0,0,0,2,2,7,2,4,5,3,3,1,0,1,1,3,0,0,0
Electronic skin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,4,4,0,1,4,2,0,0,0,1,2,0,0,0,0,0
