,gpt3_tech_extraction
eit367," about the programme and register for the event.-EIT RawMaterials University Days 2021 -EIT RawMaterials Academy -the University of Milano-Bicocca -Kaunas University of Technology -Riga Technical University -UiT, the Arctic University"
eit368," here.Acorai, RahkoAI, Owkin, Clue, and InCephalo"
eit369,"ADVITOS, ADVOS, ADVOS, ADVOS, ADVOS, ADVOS, ADVOS"
eit370,"batteries, electric vehicles, renewable energy, recycling"
eit371," here.sustainable aquaculture, new processing technologies, eco-friendly recirculating aquaculture system, fish feed made from sustainable fungi-based protein, residue-free prevention and control system for sea lice management, AI-based collaborative platform, optimised sustainable shellfish farming system, recirculating aquaculture systems"
eit372,"'s work in Poland here.New emerging technologies mentioned in the text include:1. The Warsaw Health Innovation Hub (WHIH)2. The open innovation initiative3. The joint initiative between the Medical Research Agency, EIT Health, and leading industry players4. The concept of the Warsaw Health Innovation Hub (WHIH)5. The programmes created and financed by business partners"
eit373,.-EIT Regional Innovation Scheme (RIS)-EIT Strategic Innovation Agenda (SIA)-European Innovation Scoreboard-EIT Knowledge and Innovation Communities (KICs)-EIT RIS Hubs-Smart Specialisation Strategies- European Structural and Investment (ESI) Funds
eit374," in your inbox once every two weeks.-EIT Food-Foodunfolded®.de-FoodUnfolded®-The European public information platform FoodUnfolded, supported by EIT Food, has launched Foodunfolded®.de, to produce German language content on understanding the complexities of the food sector.-FoodUnfolded® offers a diverse information platform that people can read, watch, and listen to, taking the user on a journey through our food system.-FoodUnfolded® brings editorial independence Supported by the European Institute of Innovation and Technology (EIT), FoodUnfolded® is committed to telling stories in a neutral way, ensuring an agenda-free, well-balanced approach."
eit375,".digitisation, globalisation, entrepreneurship, cross-cutting skills, experimentation, innovation, COVID-19"
eit376,"Connectivity and IoT Infrastructure; Data analytics/AI, and Additive Manufacturing (3D printing)"
eit377,"Kaffe Bueno, One Third, envoPAP, Nasekomo, The Protein Brewery, Terra NutriTECH, Computomics, Vivent, Fyteko, Soil Capital, Farmforce, Xnext, EnginZyme, OKO weather index insurance, Acoustic Extra Freezing, Plant Jammer"
eit378," here.Radar sensor technology, three-dimensional radar technology, novel three-dimensional monitoring approach."
eit379,s1. Artificial Intelligence 2. Blockchain 3. Internet of Things
eit380,’ here.-Micromobility-Electric vehicles-Battery swapping stations-Analytics platforms
eit381,-Horizon Europe-EIT Regulation-Strategic Innovation Agenda 2021-2027-EIT-entrepreneurial education-business creation-acceleration services-innovation driven research projects-Higher Education Institutions-Regional Innovation Scheme
eit382,".S4DX, the EIC Fund, the European Commission"
eit383, and meet the 20 finalists.Digital TechDigital IndustryDigital CitiesDigital FinanceDigital Wellbeing
eit384,"’s Women Entrepreneurship Bootcamp.EIT Health, IESE Business School, Imperial College Health Partners, National University of Ireland Galway, Instituto Pedro Nunes, DiagMMR®, DIVE, Beam, Rosita Longevity, Hi-D Imaging, Neuraltide, GATE2BRAIN, TissueAegis, SpotLab, Wellola, NORAKER"
eit385," here.EIT Manufacturing's Regional Innovation Scheme (RIS), the European Institute of Innovation and Technology's (EIT) Regional Innovation Scheme, and EIT Manufacturing's BoostUp! RIS competition."
eit386," here.regenerative agriculture, climate-smart agriculture, agritech"
eit387,"’s Deep Demonstration of Healthy, Clean Cities-EIT Climate-KIC's Deep Demonstration of Healthy, Clean Cities-The Clean Air Programme-Material Economics' scenario analysis model-COVID-19"
eit388,.New technologies:1. Advanced Manufacturing2. Digital Manufacturing3. Smart Manufacturing4. Additive Manufacturing5. Industry 4.0
eit389,'s approach to living labs-living labs -ICT tools -sustainable energy -healthcare -safety -mobility
eit390," and find out more about the life of your phone.1. ""The Materials Matter initiative, a creation of the Restart project – supported by the EIT RawMaterials Academy, REPLAY and Refer projects, and several museums across Europe, provides a space for education and awareness on the entire lifecycle of a mobile phone.""2. ""The initiative is perfect for 8-12-year-olds and everyone who wants to learn about raw materials for modern life.""3. ""The lifecycle of your phone has a big impact on the planet.""4. ""Your phone contains raw materials – the minerals and metals inside.""5. ""But where do these raw materials come from? And what happens when you recycle your phone?""6. ""Your phone consists of many different materials that have one thing in common: they are mined from the earth.""7. ""Minerals, metals, and advanced materials are essential for modern technologies.""8. ""Did you know there are more than 40 different materials in a smartphone?""9. ""Each material has its own complex supply chain.""10. ""Often, the minerals used to produce components for your phone, like the battery, are mined outside of Europe.""11."
eit391,"AI, digital solutions"
eit392,’s partnership with Google.org on the EIT Community website.-CEiiA's blockchain-based sustainability platform-Climate Farmers' soil carbon monitoring systems-Dark Matter Laboratories' financial platform for public investments in urban tree restoration-Deltares' app with water resources indicators-The Energy Web Foundation's open-source technologies for connecting customers with energy markets-Materiom's open-source library of bioplastic recipes-Meta Mind AB's automated carbon report system-Open Climate Fix's machine learning and satellite data-based solar electricity forecasting-Open Food Facts' food scores linked to barcodes-Saildrone's drones for real-time Gulf-Stream data collection-The Snowchange Cooperative's technology and knowledge-based rewilding of the Arctic
eit393,".Some of the new emerging technologies that are mentioned in the text include: electric vehicles, autonomous vehicles, ride sharing, and connected and automated vehicles."
eit394,’s journey here.-Omomyc-based therapy-Myc protein-universal cancer treatment
eit395,", said: “We are delighted to be working with EIT Food on this important initiative. We believe that the combination of PeakBridge’s global agrifood-tech investment experience and EIT Food’s unrivalled access to the European food ecosystem will enable us to find and invest in the most promising early-stage companies across Europe.”-Agrifood-tech-Seed fund for European agrifood-tech start-ups-EUR 30 million of investment over a span of up to four years-Protectable and scalable technology-Access to advice and mentoring from the wider EIT Food community"
eit396,1. Environmental Technology Verification (ETV) 2. The Circular Economy 3. Small and medium-sized enterprises (SMEs)
eit397,"EIT Urban Mobility, EIT Climate KIC, Co-location Centres, BLOXHUB"
eit398,"C-SNIPER, Phage Technology Center GmbH"
eit399,"This text discusses the HEI Initiative: Innovation Capacity Building for Higher Education, a new initiative from the European Institute of Innovation and Technology (EIT) to increase the entrepreneurial and innovation capacity of higher education institutions. Some of the key themes of the initiative include fostering institutional engagement and change, strengthening partnerships between higher education, business and research organisations, and enhancing the quality of entrepreneurial education."
eit400, - Subscribe to the EIT newsletter- Venture Centre of Excellence (VCoE)- cutting-edge technologies- commercialisation- the scale-up of products and services
eit401,"’s work with start-ups.GreeMko, the Climate Reality Project, Al Gore, the European Climate Law, Maria Mendiluce, and the We Mean Business coalition"
eit402,".EIT Urban Mobility, Vianova, AMAT, e-scooters, bikes, mopeds, shared cars"
eit403,"The most successful urban mobility strategies during the pandemic were:1. Encouraging the use of public transport: This involved measures such as providing free or discounted public transport, increasing the frequency of services, and improving the quality of service.2. Encouraging active travel: This involved measures such as creating more dedicated space for walking and cycling, and providing incentives for people to walk or cycle instead of using motorised transport.3. Restricting motorised traffic: This involved measures such as banning private cars from city centres, or introducing low emission zones.4. Improving the efficiency of the transport system: This involved measures such as introducing real-time information on public transport, or improving the coordination of different modes of transport."
eit404,Some of the new emerging technologies mentioned in the text are:-EIT Food's Business Creation offer-Market validation-Seedbed Incubator
eit405,: https://www.eitrawmaterials.eu/erma/1. European Raw Materials Alliance (ERMA) 2. Green and digital technologies 3. Rare earth elements 4. Lithium 5. Platinum 6. Silicon metal 7. Electric cars 8. Clean hydrogen 9. Solar panels 10. Circular technologies
eit406,".The New Accelerator, the Technical University of Madrid, Impact Hub Vienna, La Pinada, ZubiLabs, Ferrovial, Vienna Business Agency, Wien Energie Carbon Removal, ETH Zürich, TU Delft, Cyprus University of Technology, Chrysalis Leap, Cyprus Energy Agency, Port and University of Valencia, Port of Hamburg, Digital Hub Logistics Hamburg, unifund, ATHENA, BGI Building Global Innovators, Riga Technical University, Impact Hub Czechia, Impact Hub Bucharest."
eit407," on the EIT Community website.impact hub, eit food, start-up support, eit regional innovation scheme, cleantech bulgaria, prague and hub innovation, tartu biotehnoloogia park, industry disruptors game changers, pannon pro innovations, the hub sicily, cooperative society, slovak business agency, university of ljubljana biotechnical faculty, building global innovators"
eit408,".Change Game, a videogame financed by EIT Climate-KIC and designed by CMCC Foundation, confronts the complexity of climate change, and how it interacts with society and natural ecosystems. As soon as they enter ‘Change Game', players are put in control of the world and their destiny. They have to decide how to use resources to advance their civilisation while dealing with the consequences of their decisions. They can invest in research, education and entertainment, and have to be mindful of the health, happiness and prosperity of their community. The higher the level of emissions players generate, the greater the challenges they will face, as all game scenarios are based on real climate data and scientific research. Just like in the real world, their cities may then encounter heatwaves, droughts, floods, rising sea levels and/or the spread of new diseases. Every action taken has consequences, positive or negative, on the planet: everything is governed by the climate emergency. Change Game allows people to learn, while playing, about many aspects of climate change, even if they are not very familiar with its impacts or with strategies to reduce emissions. Players do so by managing the production and consumption of energy, water and food, while coping with natural disasters. They also have the"
eit409, and their solutions.-Qompium -FibriCheck -Extra Horizon -TeleCheck-AF-mHealth
eit410,-Battchain -EIT InnoEnergy -Extremadura Mining -Ente Vasco de la Energia -CIC EnergiGUNE -Fagor Ederlan -Ingeteam -SODENA -Scoobic -BeePlanet Factory
eit411,1. Nutr'Avenir 2. Inveox 3. Peptomyc
eit412,-EIT Health's start-up database-The platform will make the EIT Health talent pipeline transparent-A dashboard will highlight “hot” start-ups and scale-ups-The database will provide important company information for each entry-The tool is hosted by Dealroom.co
eit413, report: https://www.eitfood.eu/news-and-events/news/consumer-trust-in-the-food-sector-has-increased-over-the-course-of-the-covid-19-pandemic-a-new-report-from-eit-food-can-reveal-COVID-19 -EIT Food Trust Report 2020 -The EIT Food Trust Report -Aarhus University -KU Leuven -University of Warsaw -University of Reading -European Food Information Council (EUFIC)
eit414,3D printing
eit415,"’s Strategic Agenda hereEIT Health, with its extensive network and capabilities, it has a unique role to play in the health innovation ecosystem in Europe and can act as a catalyst, supporting the ‘digital first’ transition of European Health systems."
eit416,"’s work on climate literacy and check out the Climate Literacy and Education Framework.-Talking Climate workshop guide-EURACTIV event-EIT Climate-KIC Advisory Board Member, Julian Popov-DG CLIMA – European Commission, Lídia Pereira, MEP – European Parliament, George Marshall, Climate Outreach and Julia Fiedorczuk, School of Ecopoetics at InstytutR."
eit417, hereNew emerging technologies:-Artificial intelligence-Industrial Internet of Things-Digitalisation
eit418,1. MapWizard 2. advangeo® 2D Prediction software 3. MapWizard Method and Data Guide 4. MapWizard User manual
eit419, in your inbox once each month.-The European Innovation Council (EIC) -The European Institute of Innovation and Technology (EIT) -The Memorandum of Understanding (MoU) -EIT Health -The EIC
eit420," and CIVITTANew emerging technologies mentioned in the text include healthcare, climate resilience, fintech, digital and creative, and mobility."
eit421,1. EventsAir platform 2. Design thinking 3. User engagement platform
eit422,’s response to the COVID-19 crisis.-e-micromobility-framework-user survey-best practices-results-e-micromobile integration-transport-public transport-safety aspects-e-micromobility-urban planners-decision makers-city officials-EIT Urban Mobility
eit423,", EIT Digital ARISE Europe Programme ManagerNew emerging technologies mentioned in the text include:-EIT Digital-Kraków Technology Park-ARISE Europe Programme"
eit424,"-Satellites -Helicopters -Spottitt's power and gas network monitoring services -KPIs (vegetation and building encroachment and height, fire risk, land motion, flooding, risk detection and gas leaks) -Polska Spółka Gazownictwa sp. z o.o. PSG -EIT InnoEnergy"
eit425, EIT websiteNew emerging technologies mentioned in the text include:-The European Innovation Council-The European Institute of Innovation and Technology-Innovative SMEs and start-ups-Higher education institutions-Research organisations
eit426," here.-EIT Manufacturing Summit-BoostUp! Grand Final-Darmstadt, Germany-San Sebastian, Spain-Gothenburg, Sweden-Vienna, Austria-Milan, Italy-European Innovation Council (EIC)-European Investment Bank (EIB)-European Investment Fund (EIF)"
eit427,"HUS, EIT Health, Horizon Europe, FinnGen"
eit428," here NoMuWood, digital platform, life cycle analysis (LCA), e-learning tool, wood construction, low-carbon construction, life cycle analysis (LCA), carbon impact"
eit429,"’s Grand ChallengesSome of the new emerging technologies mentioned in the text include:-The WeValueFood project, which aims to educate and engage the next generation of European consumers to make improved food choices.-The Krakkar Kokka (Kids Cooking) programme in Iceland, which teaches children about the United Nations’ global goals, food traditions, local resources and sustainability.-The ‘Trip to the store’ initiative in Finland and Poland, which aims to increase the interest and understanding of third-fifth grade pupils regarding food.-The DECIFood tool, which is a decision support tool that can be used by educators across primary, secondary, and tertiary educations levels, to help them retrieve and utilise suitable resources about food education.-The Food Champions programme in the UK and Spain, which recruits young food-savvy consumers to inspire their peers through sharing food-related knowledge on social media and school networks."
eit430,: www.cortools.eu
eit431,"3D printing, remote monitoring, data collection, artificial intelligence"
eit432,.1. Batteries 2. Electric vehicles 3. Renewable energy 4. Green transportation 5. Sustainable manufacturing
eit433, and its portfolio of companies.-Industrial Internet of Things (IIoT) -Machine Learning -Software-as-a-Service (SaaS)
eit434,"1. The European Technology and Innovation Platform on Batteries (ETIP Batteries, Batteries Europe) has published its Strategic Research Agenda, one of the central deliverables of the work of the Platform.2. The document sets the priorities that battery research should follow in the next years, supported by all relevant stakeholders including European, National and Regional Research and Innovation funding agencies.3. With the increased efforts towards decarbonisation set by the EU Green Deal and the knowledge that technological progress will lead to progressive electrification, the EIT Community has now the requirement to immediately prioritise battery research, with a holistic approach across the entire battery value chain.4. Following the Platform's prerogative, the agenda identifies topics across the value chain and the relative urgency in which they need to be tackled in order to foster the energy transition.5. Batteries Europe is the one-stop-shop for battery research in Europe, coordinating the efforts of research centres and industry in making Europe a competitive, sustainable and self-sufficient actor in the global battery scene."
eit435,": EIT Climate-KIC is the EU’s largest public-private partnership addressing climate change through innovation to build a zero-carbon economy.EIT Climate-KIC is a knowledge and innovation community, part of the European Institute of Innovation and Technology (EIT), an EU body.EIT Climate-KIC’s partners include leading companies, research institutions and universities from across Europe.EIT Climate-KIC’s headquarters are in London, with centres in Berlin, Brussels, Budapest, Dublin, Helsinki, Lyon, Madrid, Milan, Paris, Rome and Zurich.EIT Climate-KIC is one of three Knowledge and Innovation Communities (KICs) created in 2010 by the EIT, the others being EIT Digital and EIT RawMaterials.-EIT Climate-KIC report on its 2020 portfolio of innovation projects-The European Green Deal-EIT Climate-KIC 2019-2022 strategy, Transformation, in Time-EIT Climate-KIC's 12 impact goals-EIT Community ecosystem projects-Deep Demonstrations-education-entrepreneurship"
eit436, here.Emerging technologies:-Rare earth elements (REE)-High performance magnets-Motors-Circular Economy
eit437,".-The SaferPlaces project-The use of innovative climate, hydrological, hydraulic, topographic, and economic modelling techniques-An online platform-The SaferPlaces platform-Nature-Based Solutions-The cost-benefit ratio of Rimini’s ‘Parco del Mare’-The potential of this climate service"
eit438,-EIT Manufacturing -BoostUp! Grand Final -European Institute of Innovation and Technology -EIT Regional Innovation Scheme
eit439," 2020.EIT Jumpstarter, EIT Health, EIT Food, EIT RawMaterials, EIT InnoEnergy, EIT Manufacturing, EIT Urban Mobility"
eit440,"MonitorFish, ACORYS, BluSense Diagnostics, Bound4Blue, Stockholm Water Technology"
eit441,"CDClean, a disinfectant to eliminate COVID-19 which is being tested in the metro and buses in Barcelona CITY RESTARTS, Europe´s first large-scale shared taxi service supplementing public transport in Milan InclusivEbike, developing and testing safe bicycles for vulnerable people to avoid risks in transport, which is being tested in Bilbao and Bergamo"
eit442," Pre-Call Ideation workshop and registerEIT Manufacturing Co-Location Centres, Open Call 2022, Ideation Sessions, Co-Location Centres, Central, West, East, North, MIT.CON, Ideation Connection, Call for Proposals 2022, Co-Location Centre South, Pre-Call Ideation workshop."
eit443,".EIT Health Catapult, Catapult, imaging technology, stroke patients, Popit, PatchAI, New Born Solutions, STIL, Gradient, UVera, PhagoMed, Gelmetix"
eit444,.-EIT Urban Mobility Academy WebTV-EIT Urban Mobility Academy Small Free Online Courses (SFOCs)-EIT Urban Mobility Academy Massive Open Online Courses (MOOCs)-Designing the cycling city-The COVID-19 pandemic-tactical urbanism-The Barcelona Superblocks-The 'Good Move' project-The 'Future Streets' project
eit445,
eit446, about how we are working towards a more sustainable mining industry: https://www.flsmidth.com/en-US/about-us/newsroom/news/2021/flsmidth-receives-eit-rawmaterials-grant-to-develop-new-flotation-technology1. Flotation process technology 2. RFC – Reflux Flotation Cell technology 3. EUR 5.4 million grant 4. EIT RawMaterials
eit447,"Zeleros, the EIT Public Award, the EIT Venture Award"
eit448," - EIT Health Summit Series 2020Artificial Intelligence, High Value Care"
eit449,.New emerging technologies mentioned in the text include:-The World Circular Economy Forum (WCEF)-The COVID-19 pandemic-EIT Climate-KIC and the European Commission’s Executive Agency for Small and Medium Enterprises-The side event ‘Circular economy research and innovation for a green recovery’-The final results of the EU H2020 CICERONE project
eit450,"’ activities on https://www.eitrawmaterials.eu/what-we-do/recycling, raw materials, green energy technologies, growth, sustainable consumption, European Green Deal, access to resources, primary resources, secondary resources, circular economy, battery recycling, electric vehicles, industrial waste, landfills, foundries, basalt, LED"
eit451," EIT Urban Mobility is a European consortium of over 100 organisations from all over Europe, including leading companies, research institutes, and universities."
eit452, in your inbox once each month.-EIT Health-UK-Ireland Co-Location Centre-Christina Petris-Managing Director-Leslie Harris-EIT Health Board of Directors-Tesco Ireland-University College Dublin
eit453," and the RIS Innovation Prizes competition.SoluBlue, Microbe +, Thermosolar Hive"
eit454, -Advanced materials for energy storage and conversion-Rare earths for magnets and motors
eit455," with the EIT Community newsletter.advosense, ANTLERON, Asthmaware BV, Flowbone, MedKitDoc, Salvus Health BV"
eit456,"Odd.Bot, Arborea, and the Mediterranean Food Lab"
eit457, in your inbox once each month: Subscribe now
eit458,".EIT Jumpstarter, Cross-KIC, Regional Innovation Scheme (EIT RIS), European Institute of Innovation and Technology (EIT), EIT Urban Mobility"
eit459," information.EIT CHANGE Award, EIT Innovators Award, EIT Venture Award, EIT Woman Award, EIT PUBLIC Awards 2020"
eit460,".climate, energy, digitalisation, food, health, raw materials"
eit461," 2020EIT Climate-KIC's Climathon 2020, urban planning, waste, circular economy, green infrastructure, sustainable food, mobility, Climathon, ideathon, Coli, Woola"
eit462,’ work with start-ups and SMEs
eit463," information about the BoostUp! Competition 2020.3D food printing, automated disinfection, recycled pavements, intelligence augmentation, cutting-edge quality assurance, 3D live digital twin, additive manufacturing of metal powder, sustainable garment manufacturing, textile industrial devices"
eit464,eu/en/emperra.1. Emperra's digital technology 2. The ESYSTA digital health technology 3. The aescuvest crowdfunding platform
eit465,"Digital support, City Data Spaces, Deep Demonstration, master data management, data quality and security, sustainability, climate strategies."
eit466,New emerging technologies:-EIT Food-Digital traceability-Circular food systems-Targeted nutrition
eit467,".Smart Mobility, ITS, City 2030, 360° City Scan, TracToZero"
eit468, here.Some of the new technologies mentioned include:-Tubulis GmbH-EIT Health-COVID-19
eit469," and meet the 2020 winners.EIT Jumpstarter, EIT Manufacturing RIS online Bootcamp, University of Tartu, Slovak University of Technology, INESC TEC, EIT Innovation Communities, EIT KICs, InnoEnergy, Urban Mobility"
eit470,New emerging technologies:1. EIT Climate-KIC2. Mozilla Foundation3. Climate Action.tech
eit471,-functional foods and health-alternative proteins-sustainable agriculture-harnessing side streams
eit472,- digital therapeutics- gamified digital therapeutic solutions- digital health solutions
eit473,".The EIT Health Catapult, Amazon Web Services (AWS), L3S Partnership, Virdis Group, Lallianse, and McDermott Will & Emery."
eit474, BoostUp! 2020 and watch the video recordings of all the sessions.1. BoostUp! competition regional final 2. EIT Manufacturing 3. San Sebastian 4. six ventures 5. Gala Maturana 6. Business Creation Manager Co-Location Center West 7. CREATE Category for entrepreneurs 8. First place: FabInventors 9. Second place: EASY AI 10. ACCELERATE Category for start-ups 11. First place: Simsoft Industry 12. Second place: Wavely 13. Third place: Stirweld 14. Forth place: Linqcase 15. Asier RUFINO 16. CEO of Tecnalia Ventures 17. Cristina Oyón 18. Head of Strategic initiatives SPRI 19. Stephen Bateman 20. SME Transformation Specialist 21. Klaus Beetz 22. CEO Manufacturing 23. European Green Deal
eit475,"new emerging technologies: electric roads, vehicle to grid, electric buses and trucks, intelligent transport systems, autonomous driving"
eit476,’s venture creation activities.-SARA Social Robot-LMAD-PeasyPay-Restpay-Amygdala-physical tokens for COVID-19 contact tracing-3D printed remote monitoring device
eit477, for more information1. European Institute of Innovation and Technology (EIT) 2. EIT Awards 2020 3. EIT Community 4. EIT Change Award 5. EIT Innovators Award 6. EIT Venture Award 7. EIT Woman Award
eit478," about the World Round Table and the TechTour here.Nano- and microparticles (NMP), ground penetrating radar technology, directional drilling, sapphire processing, magnetisable concretes, Life Cycle Assessment (LCA)"
eit479,-EIT Urban Mobility-Living labs-Online survey
eit480,’s work on sustainable finance-The EU Taxonomy for sustainable activities -The review of the Taxonomy Regulation -The monitoring and reporting of capital flows towards sustainable investments -Sustainable finance policy development
eit481," for more information.EIT Health, Headstart Programme, Healthy Longevity Catalyst Awards, Healthy Longevity Global Competition, National Academy of Medicine, Mucoadhesive Ocular Hydrogel Insert, BOCAhealthcare GmbH, Byteflies NV, CrannMed Limited, EPCON bvba, Foren Project S.L., Friends Media Group Katarzyna Zimoląg, GRAPHEAL, IDOVEN 1903, iuvando Health GmbH, KroniKare Limited, Lifebloom, Lorton Investments Sp. z o.o., MiWEndo Solutions S.L, mioTest®, Mysurable LTD, NaviBlind IVS, Praxis Medical Devices Ltd, RAMPmedical, SYNCSENSE ApS, VulCur MedTech ApS, Wolk BV"
eit482,
eit483,’s emerging technologies
eit484,".ONO Motion, WaveSense, Scoobic, Ivys, Kumpan, SparkCharge, Duckt"
eit485,"AI, 3D radar, machine-to-machine platform"
eit486,New emerging technologies:-EIT Urban Mobility-Journal of Urban Mobility
eit487," informationEIT Climate-KIC, Clyde Rebuilt, Climate Ready Clyde, Sniffer, Creative Carbon Scotland, Paul Watkiss Associates"
eit488,-EIT RawMaterials Alumni networking platform -EIT Alumni Community
eit489,"EIT, EUIPO, SME, IP"
eit490,"EIT Digital, ABC Accelerator, BGI, Found.ation, Kraków Technology Park, Startup Wise Guys, Restpay, Amygdala, Worig, Kiimo, Roster, Hireflows, Recovery Companion, Ruupi, Sensomatt"
eit491,Emerging technologies: digitalisation and automation of supply chains and logistics
eit492," Booster CallNanoPow's high-quality crystalline silicon nano powder, which is 10 times more efficient than Graphene, is a new emerging technology. The powder can be used in batteries for electric vehicles, electric bicycles, drones, cell phones, laptops and tablets, and can be used to increase battery capacity and charge-discharge cycle index."
eit493,"-Sleepiz One, a contactless sleep-monitoring device -wireless millimetre wave technology -sensor fusion -chest effort band, a nasal canula"
eit494,"digital health, life science, Venture Centre of Excellence, HealthTech Innovation Days, European Fund for Strategic Investments, COVID-19"
eit495," hereSolar-powered battery swapping service for electric three-wheelers in Bangladesh, tailored solutions to help farmers and agricultural companies ease into regenerative agriculture, Carbon Craft Design building architectural and interior products by upcycling carbon emissions."
eit496," 3D Strong, Fractuscan, Kierto Ympäristöpalvelu, Nanopow, Viezo"
eit497,"EIT Regional Innovation Scheme, launch a new action to boost the innovation capacity of higher education institutions in Europe, and improve our openness and inclusivity."
eit498,"High Value Care (HVC), Value-Based Health Care (VBHC),"
eit499," 1st place: T4Fusion 2nd place: M-SOLV 3rd place: SHERPA 1st place: M-SOLV 2nd place: T4Fusion 3rd place: SHERPADigital Production Technology, Kvassir, T4Fusion, M-SOLV, SHERPA"
eit500,-Electric vehicles and energy storage-Materials for energy storage and conversion-Wind turbines
eit501,1. new process for recycling contaminated steel scrap 2. environmentally friendly and economically feasible method to recycle contaminated steel scrap 3. new premium raw material - high-quality Purified Metal Blocks (PMB)
eit502,"-EIT Climate-KIC-Deep Demonstration of Healthy, Clean Cities-Virtual Teams for Systemic Change"
eit503,"’s first year:• A new AI system to identify every item in the entire waste streams by material, object and brand.• Recycleye began its operation last year with only Victor Dewulf and Peter Hedley, with the aim to bring transparency to the recycling industry and accelerate the world’s transition to a circular economy.• A year on and Recycleye is a fully-fledged company closer to accomplish its mission. EIT RawMaterials has been supporting Recycleye to grow both operationally and strategically.• While COVID-19 may have slowed down some companies, Recycleye has only accelerated. Over the past year, with EIT RawMaterials Accelerator support, the start-up has been able to achieve even greater milestones, with some of the greatest achievements including:• Building dataset from 5000 images across 4 classes to 2,453,284 images across 28 classes• Building a vision system capable of identifying all waste materials• Product deployments across the UK and France• Expanding to a team of 12 of the best technologists and creatives• EIT Raw Materials is looking forward to continuing its partnership with Rec"
eit504,", the EU's next research and innovation programme, will also invest in a new European Innovation Council (EIC) to support breakthrough innovation, and a European Institute of Innovation and Technology (EIT) to promote innovation and entrepreneurship across Europe.The European Innovation Council (EIC) and the European Institute of Innovation and Technology (EIT)"
eit505,-Food4Health-MuscleCancer-STOP MetSyn
eit506,".This program successfully brought together experts from academia, healthcare and industry to work towards a common goal – to improve the lives of children waiting for a heart transplant."
eit507,"EIT Climate-KIC, Google, carbon-free energy, European Knowledge and Innovation Community, Accelerator, Climate LaunchPad"
eit508,"-PeasyPay, a start-up launched by EIT Digital, is letting people pay by just showing their faces and taking a picture of the palm of their hands. -The system was first rolled out in Budapest and is currently being piloted in Guadalajara, Spain. Slovenia and the UK will follow. -PeasyPay, incorporated in Hungary, is letting people pay by just showing their faces and taking a picture of the palm of their hands, making the whole process faster and more convenient. -The partnership behind the initiative includes two Spanish partners, Ci3 and Liberbank, two Hungarian ones, E-Group and OTP Bank, and Slovenia’s AV Living Lab. -In the case of a match, the payment is authorised, and the amount charged to the credit card registered in the payment gateway of the corresponding PeasyPay account. -The PeasyPay solution has also been designed to be fully compliant with all European regulations, especially GDPR and national data protection laws. -Another factor that makes the startup’s technology stand out from the competition is that other payment solutions are fully dependent on a proprietary infrastructure and ecosystem, whereas PeasyPay is based on an"
eit509,"Digital Sandbox, EIT Health, Biobanks, Quality Registers, Sample Holders, European Biobanks, Machine Learning"
eit510,"3D prototypes, biotechnology, diagnostics, co-working areas"
eit511,SideROSEIT Health Headstartironomycin
eit512,-EIT RawMaterials -The European Raw Materials Alliance -Critical Raw Materials -Raw Materials
eit513,"3D printed remote monitoring device, COVID-19 solution, EIT Digital Master School, EIT Digital, DATA against COVID-19, EUvsVirus, Minimal Viable Product"
eit514,"MaaS, digitalisation, new mobility services, sustainability, equity, accessibility."
eit515,"EIT Digital Venture Program, EIT Digital Master School, Krakow Technology Park, machine learning, deep learning,"
eit516, -Sub-atmospheric pressure units-Induction furnaces-Casting machines
eit517,"Intelligent Lab on Fiber (iLoF), artificial intelligence (AI), photonics, Alzheimer’s disease, clinical trials"
eit518,-EIT Climate-KIC -The Metropolitan Association of Upper Silesia and Dąbrowa Basin (Silesian Metropolis) -Rybnik360 -transportation -policy innovation -governance in public administration
eit519,: https://www.kerry.com/Some of the new technologies that Kerry Group is working on include:-Taste and nutrition solutions for the food and beverage industry-Sustainable food and beverage solutions-Healthier and more sustainable food and beverage solutions-Innovations in the area of food safety and quality
eit520,"P2P (peer-to-peer) energy sharing, Smart Cities"
eit521,.
eit522,"Crowdfunding, Financial Technology (FinTech), micro-investments"
eit523,"Some of the new emerging technologies mentioned in the text include: healthy and affordable food, sustainability in agrifood, food innovation, consumer-oriented food, and digitization in agrifood."
eit524,"-EIT Climate-KIC- Healthy, Clean Cities Deep Demonstration- Horizon 2020- carbon neutrality- energy transition- greening of public spaces- decarbonisation of urban food"
eit525,-Verkor's new battery cell production -EIT InnoEnergy's support -Schneider Electric's industrial expertise -The GROUPE IDEC's experience in cross-functional business lines
eit526,"Digital Cognitive based therapy, an intelligent resource planning system, a personal AI assistant, a website with online spaces for memories, learning, sharing, and counselling."
eit527,"precision livestock farming, animal health solutions, digital platform, data analytics, sustainable agriculture"
