,reference-count,publisher,short-container-title,DOI,type,is-referenced-by-count,title,container-title,other_links,score,URL,subject,pdf_link,other_links
arxiv75,0,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Biomed. Eng.,10.1109/tbme.2022.3205304,journal-article,0,Adaptive R-Peak Detection on Wearable ECG Sensors for High-Intensity Exercise,IEEE Transactions on Biomedical Engineering,http://xplorestaging.ieee.org/ielx7/10/4359967/09882328.pdf?arnumber=9882328,UNKNOWN,http://dx.doi.org/10.1109/tbme.2022.3205304,Biomedical Engineering,UNKNOWN,http://xplorestaging.ieee.org/ielx7/10/4359967/09882328.pdf?arnumber=9882328
arxiv78,0,SCITEPRESS - Science and Technology Publications,UNKNOWN,10.5220/0008170001130120,proceedings-article,1,Estimation of Physical Activity Level and Ambient Condition Thresholds for Respiratory Health using Smartphone Sensors,Proceedings of the 9th International Conference on Pervasive and Embedded Computing and Communication Systems,UNKNOWN,UNKNOWN,http://dx.doi.org/10.5220/0008170001130120,UNKNOWN,UNKNOWN,UNKNOWN
arxiv79,24,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Wireless Commun.,10.1109/twc.2020.3021252,journal-article,6,Joint Sub-Carrier and Power Allocation for Efficient Communication of Cellular UAVs,IEEE Transactions on Wireless Communications,http://xplorestaging.ieee.org/ielx7/7693/9289043/09194341.pdf?arnumber=9194341,UNKNOWN,http://dx.doi.org/10.1109/twc.2020.3021252,Applied MathematicsElectrical and Electronic EngineeringComputer Science Applications,UNKNOWN,http://xplorestaging.ieee.org/ielx7/7693/9289043/09194341.pdf?arnumber=9194341
arxiv85,43,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Instrum. Meas.,10.1109/tim.2022.3165828,journal-article,0,Leveraging Tactile Sensors for Low Latency Embedded Smart Hands for Prosthetic and Robotic Applications,IEEE Transactions on Instrumentation and Measurement,http://xplorestaging.ieee.org/ielx7/19/9717300/09751605.pdf?arnumber=9751605,UNKNOWN,http://dx.doi.org/10.1109/tim.2022.3165828,Electrical and Electronic EngineeringInstrumentation,UNKNOWN,http://xplorestaging.ieee.org/ielx7/19/9717300/09751605.pdf?arnumber=9751605
arxiv86,0,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Smart Grid,10.1109/tsg.2022.3210771,journal-article,0,Resilient Distribution System Restoration with Communication Recovery by Drone Small Cells,IEEE Transactions on Smart Grid,http://xplorestaging.ieee.org/ielx7/5165411/5446437/09905721.pdf?arnumber=9905721,UNKNOWN,http://dx.doi.org/10.1109/tsg.2022.3210771,General Computer Science,UNKNOWN,http://xplorestaging.ieee.org/ielx7/5165411/5446437/09905721.pdf?arnumber=9905721
arxiv87,0,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Smart Grid,10.1109/tsg.2022.3210771,journal-article,0,Resilient Distribution System Restoration with Communication Recovery by Drone Small Cells,IEEE Transactions on Smart Grid,http://xplorestaging.ieee.org/ielx7/5165411/5446437/09905721.pdf?arnumber=9905721,UNKNOWN,http://dx.doi.org/10.1109/tsg.2022.3210771,General Computer Science,UNKNOWN,http://xplorestaging.ieee.org/ielx7/5165411/5446437/09905721.pdf?arnumber=9905721
arxiv88,0,Institute of Electrical and Electronics Engineers (IEEE),UNKNOWN,10.36227/techrxiv.19424219.v1,posted-content,0,Wi-Fi And Bluetooth Contact Tracing Without User Intervention,UNKNOWN,https://ndownloader.figshare.com/files/36396753,UNKNOWN,http://dx.doi.org/10.36227/techrxiv.19424219.v1,UNKNOWN,UNKNOWN,https://ndownloader.figshare.com/files/36396753
arxiv90,45,IEEE,UNKNOWN,10.1109/iscas48785.2022.9937837,proceedings-article,0,Privacy-preserving Social Distance Monitoring on Microcontrollers with Low-Resolution Infrared Sensors and CNNs,2022 IEEE International Symposium on Circuits and Systems (ISCAS),http://xplorestaging.ieee.org/ielx7/9937201/9937203/09937837.pdf?arnumber=9937837,UNKNOWN,http://dx.doi.org/10.1109/iscas48785.2022.9937837,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9937201/9937203/09937837.pdf?arnumber=9937837
arxiv92,16,Institute of Electrical and Electronics Engineers (IEEE),IEEE Sens. Lett.,10.1109/lsens.2019.2947625,journal-article,3,Deep Gait Tracking With Inertial Measurement Unit,IEEE Sensors Letters,http://xplorestaging.ieee.org/ielx7/7782634/8906247/08871330.pdf?arnumber=8871330,UNKNOWN,http://dx.doi.org/10.1109/lsens.2019.2947625,Electrical and Electronic EngineeringInstrumentation,UNKNOWN,http://xplorestaging.ieee.org/ielx7/7782634/8906247/08871330.pdf?arnumber=8871330
arxiv93,25,IEEE,UNKNOWN,10.1109/icra46639.2022.9812283,proceedings-article,0,Nonlinear Model Identification and Observer Design for Thrust Estimation of Small-scale Turbojet Engines,2022 International Conference on Robotics and Automation (ICRA),http://xplorestaging.ieee.org/ielx7/9811522/9811357/09812283.pdf?arnumber=9812283,UNKNOWN,http://dx.doi.org/10.1109/icra46639.2022.9812283,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9811522/9811357/09812283.pdf?arnumber=9812283
arxiv98,43,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Commun.,10.1109/tcomm.2022.3195868,journal-article,1,Trajectory Planning of Cellular-Connected UAV for Communication-Assisted Radar Sensing,IEEE Transactions on Communications,http://xplorestaging.ieee.org/ielx7/26/9893516/09847217.pdf?arnumber=9847217,UNKNOWN,http://dx.doi.org/10.1109/tcomm.2022.3195868,Electrical and Electronic Engineering,UNKNOWN,http://xplorestaging.ieee.org/ielx7/26/9893516/09847217.pdf?arnumber=9847217
arxiv102,0,The Science and Information Organization,IJACSA,10.14569/ijacsa.2021.0120608,journal-article,7,IoT based Smart Water Quality Prediction for Biofloc Aquaculture,International Journal of Advanced Computer Science and Applications,http://thesai.org/Downloads/Volume12No6/Paper_8-IoT_based_Smart_Water_Quality_Prediction.pdf,UNKNOWN,http://dx.doi.org/10.14569/ijacsa.2021.0120608,General Computer Science,UNKNOWN,http://thesai.org/Downloads/Volume12No6/Paper_8-IoT_based_Smart_Water_Quality_Prediction.pdf
arxiv103,17,IEEE,UNKNOWN,10.1109/iceccme55909.2022.9987848,proceedings-article,0,Appraisal of a Random Bit Generator Utilizing Smartphone Sensors as Entropy Source,"2022 International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)",http://xplorestaging.ieee.org/ielx7/9987724/9987729/09987848.pdf?arnumber=9987848,UNKNOWN,http://dx.doi.org/10.1109/iceccme55909.2022.9987848,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9987724/9987729/09987848.pdf?arnumber=9987848
arxiv105,27,IEEE,UNKNOWN,10.1109/ijcnn55064.2022.9892356,proceedings-article,0,Incremental Online Learning Algorithms Comparison for Gesture and Visual Smart Sensors,2022 International Joint Conference on Neural Networks (IJCNN),http://xplorestaging.ieee.org/ielx7/9891857/9889787/09892356.pdf?arnumber=9892356,UNKNOWN,http://dx.doi.org/10.1109/ijcnn55064.2022.9892356,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9891857/9889787/09892356.pdf?arnumber=9892356
arxiv107,104,Cold Spring Harbor Laboratory,UNKNOWN,10.1101/2022.09.16.508350,posted-content,0,A Computational Model of Learning Flexible Navigation in a Maze by Layout-Conforming Replay of Place Cells,UNKNOWN,https://syndication.highwire.org/content/doi/10.1101/2022.09.16.508350,UNKNOWN,http://dx.doi.org/10.1101/2022.09.16.508350,UNKNOWN,UNKNOWN,https://syndication.highwire.org/content/doi/10.1101/2022.09.16.508350
arxiv108,21,IEEE,UNKNOWN,10.1109/gcwkshps56602.2022.10008748,proceedings-article,0,Improving UAV Communication in Cell Free MIMO Using a Reconfigurable Intelligent Surface,2022 IEEE Globecom Workshops (GC Wkshps),http://xplorestaging.ieee.org/ielx7/10008390/10008474/10008748.pdf?arnumber=10008748,UNKNOWN,http://dx.doi.org/10.1109/gcwkshps56602.2022.10008748,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/10008390/10008474/10008748.pdf?arnumber=10008748
arxiv112,0,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Veh. Technol.,10.1109/tvt.2022.3221557,journal-article,0,Adaptive and Fair Deployment Approach to Balance Offload Traffic in Multi-UAV Cellular Networks,IEEE Transactions on Vehicular Technology,http://xplorestaging.ieee.org/ielx7/25/4356907/09946428.pdf?arnumber=9946428,UNKNOWN,http://dx.doi.org/10.1109/tvt.2022.3221557,Electrical and Electronic EngineeringComputer Networks and CommunicationsAerospace EngineeringAutomotive Engineering,UNKNOWN,http://xplorestaging.ieee.org/ielx7/25/4356907/09946428.pdf?arnumber=9946428
arxiv113,0,Institute of Electrical and Electronics Engineers (IEEE),IEEE Wireless Commun. Lett.,10.1109/lwc.2023.3234008,journal-article,0,Coverage Analysis for Cellular-Connected Random 3D Mobile UAVs with Directional Antennas,IEEE Wireless Communications Letters,http://xplorestaging.ieee.org/ielx7/5962382/6065724/10005193.pdf?arnumber=10005193,UNKNOWN,http://dx.doi.org/10.1109/lwc.2023.3234008,Electrical and Electronic EngineeringControl and Systems Engineering,UNKNOWN,http://xplorestaging.ieee.org/ielx7/5962382/6065724/10005193.pdf?arnumber=10005193
